player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Cade Stover,101486,TE,HST,1,2,0,13,,0,,,0,0,,0,1.64,0,0,,59.9,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,9.0,0,100.0,100.0,1,1,0.0,0,0.02,1,0,64.7,81.7,0,11,25.0,1,4,66.7,1,75.0,3,112.5,1,33.3,0,11,2,2.0,11.0,3.67
Marquise Brown,61568,WR,KC,1,2,0,16,,0,,,0,0,,0,1.4,0,0,64.7,70.3,0,0,0.0,0,5,100.0,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,0,7.0,0,100.0,,0,0,0.0,0,-0.28,1,0,64.7,65.2,0,10,0.0,0,11,30.0,1,90.9,10,108.3,1,10.0,0,10,3,3.0,10.0,1.0
Devontez Walker,145773,WR,BLT,1,2,0,3,48.0,0,0.0,0.0,0,1,,0,-0.58,0,0,,57.2,0,0,0.0,0,4,33.3,0,75.0,3,39.6,1,33.3,0,0,0,,,0.0,0,38.0,0,0.0,,0,0,,0,-0.56,0,0,,57.0,0,0,0.0,0,3,0.0,0,66.7,2,39.6,1,50.0,0,0,0,,,0.0
Cedrick Wilson Jr.,48170,WR,MIA,1,2,0,17,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,0,15.5,2,50.0,,0,0,0.0,0,0.01,1,0,64.7,75.1,0,16,0.0,0,3,33.3,1,100.0,3,77.1,2,66.7,0,16,13,13.0,16.0,5.33
Deven Thompkins,84480,WR,ATL,1,2,0,2,16.0,0,100.0,,0,0,0.0,0,1.46,1,0,64.7,76.4,0,19,0.0,0,2,100.0,1,100.0,2,118.8,1,50.0,0,19,3,3.0,19.0,9.5,0,-5.0,0,100.0,,0,0,0.0,0,-0.19,0,0,64.7,59.7,0,4,0.0,0,2,50.0,1,100.0,2,83.3,1,50.0,0,4,9,9.0,4.0,2.0
Payne Durham,84037,TE,TB,1,1,0,30,,0,,,0,0,,0,0.79,0,0,,57.1,0,0,50.0,2,4,50.0,0,50.0,2,0.0,0,0.0,0,0,0,,,0.0,0,1.0,0,100.0,,0,0,0.0,0,-0.17,1,0,64.7,75.1,0,11,42.9,3,7,42.9,1,57.1,4,112.5,1,25.0,0,11,10,10.0,11.0,2.75
Tristan Wirfs,64818,T,TB,1,1,0,30,1.0,0,100.0,,0,0,0.0,0,0.79,1,0,64.7,90.4,0,2,91.7,11,12,54.5,1,8.3,1,118.8,1,100.0,1,2,1,1.0,2.0,2.0,0,,0,,,0,0,,0,-0.1,0,0,,,0,0,100.0,21,21,40.0,0,0.0,0,0.0,0,,0,0,0,,,
Tyrone Tracy,84226,HB,NYG,1,1,0,21,,0,,,0,0,,0,-0.25,0,0,,56.2,0,0,20.0,1,5,60.0,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,0,-4.0,0,100.0,,0,0,0.0,0,-0.6,0,0,64.7,55.9,0,-3,20.0,2,10,20.0,1,80.0,8,79.2,1,12.5,0,-3,1,1.0,-3.0,-0.38
Jordan Mason,62946,HB,MIN,1,1,0,18,,0,,,0,0,,0,0.2,0,0,,59.7,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,-5.0,0,100.0,,0,0,0.0,0,0.26,0,1,64.7,24.5,0,1,16.7,1,6,50.0,1,83.3,5,79.2,1,20.0,0,1,6,6.0,1.0,0.2
Jalen Nailor,84292,WR,MIN,1,1,0,18,,0,,,0,0,,0,-1.36,0,0,,57.4,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,-0.35,0,0,,51.5,0,0,0.0,0,18,35.3,0,94.4,17,0.0,0,0.0,0,0,0,,,0.0
Rashod Bateman,84296,WR,BLT,1,1,0,3,,0,,,0,0,,0,-0.67,0,0,,54.9,0,0,0.0,0,13,38.5,0,100.0,13,0.0,0,0.0,0,0,0,,,0.0,0,26.0,0,0.0,,0,0,,0,-0.66,0,0,,54.7,0,0,0.0,0,9,33.3,0,100.0,9,39.6,1,11.1,0,0,0,,,0.0
Bo Melton,61610,WR,GB,1,1,0,12,,0,,,0,0,,0,1.86,0,0,,58.9,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,12.0,0,0.0,,0,0,,0,-0.2,0,0,,57.3,0,0,0.0,0,3,33.3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0
Cody White,61448,WR,SEA,1,1,0,29,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,0,8.0,1,100.0,,0,0,0.0,0,0.4,1,0,64.7,86.7,0,21,0.0,0,3,33.3,1,100.0,3,118.8,1,33.3,0,21,13,13.0,21.0,7.0
Cedric Tillman,84434,WR,CLV,1,1,0,8,,0,,,0,0,,0,-0.6,0,0,,56.6,0,0,0.0,0,4,25.0,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,4.0,0,0.0,,0,0,,0,-0.12,0,0,,52.6,0,0,0.0,0,17,40.0,0,88.2,15,39.6,1,6.7,0,0,0,,,0.0
Julian Hill,88685,TE,MIA,1,1,0,17,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,-0.39,0,0,,53.6,0,0,40.0,2,5,20.0,0,60.0,3,0.0,0,0.0,0,0,0,,,0.0
