player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Jaylen Waddle,84088,WR,MIA,1,5,0,17,4.0,0,0.0,,0,0,,0,-0.04,0,0,,53.0,0,0,0.0,0,8,28.6,0,87.5,7,39.6,1,14.3,0,0,0,,,0.0,0,4.5,0,100.0,100.0,1,1,0.0,0,-0.41,1,0,72.1,64.0,0,16,0.0,0,14,42.9,4,100.0,14,97.9,4,28.6,0,30,12,3.0,7.5,2.14
James Cook,83666,HB,BUF,1,5,0,4,-3.0,3,100.0,,0,0,0.0,0,0.47,1,0,64.7,80.2,0,51,0.0,0,9,50.0,1,88.9,8,118.8,1,12.5,0,51,54,54.0,51.0,6.38,0,1.0,1,100.0,,0,0,0.0,0,0.69,0,0,70.5,63.6,0,4,0.0,0,11,50.0,3,90.9,10,79.2,3,30.0,0,6,3,1.0,2.0,0.6
Noah Fant,42388,TE,CIN,1,5,0,7,-5.0,0,0.0,,0,0,100.0,1,0.43,0,0,27.9,28.6,0,0,0.0,0,4,50.0,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0,0,1.7,0,100.0,,0,0,0.0,0,-0.08,1,0,70.5,73.4,0,12,0.0,0,9,55.6,3,100.0,9,101.4,3,33.3,0,25,20,6.7,8.3,2.78
Tyler Badie,83714,HB,DEN,1,5,0,10,-6.0,0,0.0,,0,0,100.0,1,0.49,0,0,27.9,25.9,0,0,0.0,0,3,33.3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0,0,7.0,0,50.0,,0,0,0.0,0,-0.48,0,0,68.3,60.5,0,13,11.1,1,9,25.0,2,77.8,7,60.4,4,57.1,0,16,18,9.0,8.0,2.29
Jauan Jennings,48027,WR,SF,1,5,0,28,17.0,0,0.0,,0,0,,0,0.79,0,0,,54.8,0,0,0.0,0,4,66.7,0,75.0,3,39.6,1,33.3,0,0,0,,,0.0,0,8.5,0,50.0,,0,0,0.0,0,-0.08,0,0,64.7,54.0,1,5,0.0,0,16,57.1,1,87.5,14,16.7,2,14.3,0,5,6,6.0,5.0,0.36
James Conner,11860,HB,ARZ,1,4,0,1,,0,,,0,0,,0,-1.75,0,0,,56.8,0,0,25.0,1,4,0.0,0,50.0,2,0.0,0,0.0,0,0,0,,,0.0,0,-4.5,1,100.0,,0,0,0.0,0,0.0,1,0,68.3,67.2,0,5,20.0,3,15,42.9,2,73.3,11,79.2,2,18.2,0,2,11,5.5,1.0,0.18
Romeo Doubs,84329,WR,GB,1,4,0,12,14.3,0,33.3,0.0,0,1,0.0,0,-0.29,1,0,64.7,66.2,0,20,0.0,0,10,22.2,1,90.0,9,57.6,3,33.3,0,20,2,2.0,20.0,2.22,0,43.0,0,100.0,100.0,1,1,0.0,0,0.59,1,0,64.7,75.1,0,48,0.0,0,8,37.5,1,100.0,8,118.8,1,12.5,0,48,5,5.0,48.0,6.0
David Montgomery,45719,HB,DET,1,4,0,11,,0,,,0,0,,0,2.28,0,0,,59.9,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,3.0,0,100.0,,0,0,0.0,0,0.04,1,0,70.5,74.2,0,7,0.0,0,9,44.4,3,100.0,9,94.4,3,33.3,0,20,11,3.7,6.7,2.22
Chigoziem Okonkwo,84000,TE,TEN,1,4,0,31,16.0,0,0.0,,0,0,,0,-0.46,0,0,,52.0,0,0,25.0,4,16,21.4,0,75.0,12,39.6,1,8.3,0,0,0,,,0.0,0,-1.0,1,100.0,,0,0,0.0,0,-0.09,1,0,68.3,69.7,0,14,0.0,0,11,27.3,2,100.0,11,97.9,2,18.2,0,15,17,8.5,7.5,1.36
T.J. Hockenson,40912,TE,MIN,1,4,0,18,,0,,,0,0,,0,-1.51,0,0,,51.5,0,0,22.2,2,9,50.0,0,44.4,4,0.0,0,0.0,0,0,0,,,0.0,0,7.3,0,66.7,,0,0,0.0,0,-0.34,0,0,68.3,50.8,0,4,0.0,0,14,23.1,2,92.9,13,70.1,3,23.1,0,6,0,0.0,3.0,0.46
Evan Engram,11778,TE,DEN,1,4,0,10,,0,,,0,0,,0,0.97,0,0,,54.3,0,0,0.0,0,4,66.7,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,0,3.0,0,75.0,,0,0,0.0,0,0.46,1,0,70.5,61.1,0,10,0.0,0,16,61.5,3,81.3,13,86.5,4,30.8,0,21,15,5.0,7.0,1.62
Tucker Kraft,104034,TE,GB,1,4,0,12,14.3,0,33.3,100.0,1,1,0.0,0,0.5,1,0,64.7,75.5,0,15,8.3,1,12,45.5,1,83.3,10,90.3,3,30.0,1,15,0,0.0,15.0,1.5,0,0.0,0,100.0,,0,0,0.0,0,0.36,0,0,64.7,50.4,0,1,27.3,3,11,36.4,1,72.7,8,79.2,1,12.5,0,1,1,1.0,1.0,0.13
Dyami Brown,77986,WR,JAX,1,4,0,15,,0,,,0,0,,0,0.59,0,0,,58.4,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,8.5,0,50.0,0.0,0,1,50.0,1,-0.07,1,0,28.8,51.8,0,12,0.0,0,23,34.8,1,100.0,23,68.8,2,8.7,0,12,2,2.0,12.0,0.52
Bucky Irving,144970,HB,TB,1,4,0,30,,0,,,0,0,,0,0.04,0,0,,57.9,0,0,50.0,2,4,33.3,0,50.0,2,0.0,0,0.0,0,0,0,,,0.0,0,-1.7,1,100.0,,0,0,0.0,0,0.27,0,0,70.5,57.9,0,1,22.7,5,22,40.9,3,77.3,17,79.2,3,17.6,0,-1,4,1.3,-0.3,-0.06
Tyquan Thornton,78092,WR,KC,1,4,0,16,23.3,0,66.7,,0,0,0.0,0,0.18,1,0,68.3,75.4,0,38,0.0,0,8,37.5,2,100.0,8,109.7,3,37.5,0,41,5,2.5,20.5,5.13,0,39.0,0,0.0,,0,0,,0,0.27,0,0,,51.0,0,0,0.0,0,24,56.5,0,95.8,23,39.6,1,4.3,0,0,0,,,0.0
Brenton Strange,101694,TE,JAX,1,4,0,15,14.0,0,100.0,,0,0,0.0,0,1.21,1,0,64.7,86.7,0,16,0.0,0,2,100.0,1,100.0,2,118.8,1,50.0,0,16,2,2.0,16.0,8.0,0,7.3,1,100.0,100.0,2,2,0.0,0,-0.09,2,0,70.5,79.7,0,24,10.0,2,20,35.0,3,90.0,18,118.8,3,16.7,0,43,21,7.0,14.3,2.39
