player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Will Shipley,144138,HB,PHI,1,0,24,73.1,0,0,1,12.5,12.5,100.0,0,0,0,1,8,,0,0,0,0.0,0.0,,0,0,0,7
Olamide Zaccheaus,44920,WR,ATL,1,0,2,62.3,0,0,1,10.0,9.1,100.0,0,0,0,1,11,,0,0,0,0.0,0.0,,0,0,0,7
Derrick Harmon,144962,DI,PIT,1,0,25,63.8,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Elijah Higgins,98027,TE,ARZ,1,0,1,70.2,0,0,1,20.0,20.0,100.0,0,0,0,1,5,,0,0,0,0.0,0.0,,0,0,0,1
Colby Parkinson,52266,TE,LA,1,0,26,65.9,0,0,1,5.3,4.3,100.0,0,0,0,1,23,,0,0,0,0.0,0.0,,0,0,0,13
Corey Kiner,86392,HB,NE,1,0,19,69.4,0,0,1,50.0,50.0,100.0,0,0,0,1,2,,0,0,0,,,,0,0,0,0
DJ Herman,146162,FB,MIA,1,0,17,65.8,0,0,1,12.5,12.5,100.0,0,0,0,1,8,,0,0,0,0.0,0.0,,0,0,0,2
Keleki Latu,146291,TE,BUF,1,0,4,66.2,0,0,0,0.0,50.0,,0,0,0,1,2,,0,0,0,,,,0,0,0,0
Larry Borom,59879,T,DET,1,0,11,70.8,0,0,1,100.0,100.0,100.0,0,0,0,1,1,,0,0,0,,,,0,0,0,0
Rashee Rice,97605,WR,KC,1,0,16,66.4,0,0,1,3.3,3.2,100.0,0,0,0,1,31,,0,0,0,0.0,0.0,,0,0,0,10
Terrance Ferguson,146563,TE,LA,1,0,26,65.9,0,0,1,7.1,6.7,100.0,0,0,0,1,15,,0,0,0,0.0,0.0,,0,0,0,6
Raheim Sanders,146626,HB,CLV,1,0,8,68.5,0,0,1,7.1,6.3,100.0,0,0,0,1,16,68.5,0,0,1,9.1,7.7,100.0,0,0,1,13
Evan Engram,11778,TE,DEN,1,0,10,23.3,0,1,1,4.2,4.0,50.0,0,1,0,1,25,23.3,0,1,1,6.7,6.7,50.0,1,0,1,15
