player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Caleb Ransaw,147264,S,JAX,1,0,0,15,57.3,0,1,2,8.7,0.0,0,0,25.0,0,23,2,1,0,57.9,0,1,1,7.1,0.0,0,50.0,0,14,1,1
Mike Green,151084,ED,BLT,1,0,0,3,49.9,0,0,9,81.8,0.0,0,0,0.0,0,11,9,0,0,50.5,0,0,7,77.8,0.0,0,0.0,0,9,7,0
Jacob Rodriguez,151095,LB,MIA,1,0,0,17,52.3,0,0,4,12.5,0.0,0,0,0.0,0,32,4,0,0,53.8,0,0,3,17.6,0.0,0,0.0,0,17,3,0
Jonas Sanker,151097,S,NO,1,0,0,20,60.0,0,0,1,2.9,0.0,0,0,0.0,0,34,1,0,0,,0,0,0,0.0,,0,,0,16,0,0
Eric O'Neill,155869,ED,DET,1,0,0,11,57.3,0,0,2,66.7,0.0,0,0,0.0,0,3,2,0,0,58.5,0,0,1,50.0,0.0,0,0.0,0,2,1,0
Dondrea Tillman,156124,ED,DEN,1,0,0,10,58.3,0,0,11,85.7,0.0,0,0,0.0,0,14,12,0,0,62.8,0,0,4,83.3,0.0,0,0.0,0,6,5,0
Azareye'h Thomas,156277,CB,NYJ,1,0,0,22,56.4,0,1,2,5.0,0.0,0,0,25.0,0,40,2,1,0,58.6,0,1,1,5.0,0.0,0,50.0,0,20,1,1
Jaishawn Barham,156452,ED,DAL,1,0,0,9,55.9,0,0,2,13.3,0.0,0,1,0.0,0,15,2,0,0,55.9,0,0,2,66.7,0.0,0,0.0,0,3,2,0
Caden Curry,156488,ED,IND,1,0,0,14,53.4,0,0,2,100.0,0.0,0,0,0.0,0,3,3,0,0,53.4,0,0,2,100.0,0.0,0,0.0,0,3,3,0
Jacob Thomas,156722,S,MIN,1,0,0,18,58.7,0,0,1,20.0,0.0,0,0,0.0,0,5,1,0,0,58.7,0,0,1,50.0,0.0,0,0.0,0,2,1,0
Jihaad Campbell,157013,LB,PHI,1,0,0,24,68.0,0,1,6,17.9,33.3,2,0,25.0,1,39,7,2,0,74.6,0,1,4,16.7,50.0,2,37.5,1,24,4,2
Malaki Starks,157069,S,BLT,1,0,0,3,91.1,1,0,2,5.7,50.0,1,1,75.0,1,35,2,2,0,91.1,1,0,2,10.5,50.0,1,75.0,1,19,2,2
Harold Perkins Jr.,157120,LB,ATL,1,0,0,2,49.5,0,0,5,26.1,0.0,0,0,0.0,0,23,6,0,0,51.3,0,0,4,27.8,0.0,0,0.0,0,18,5,0
David Bailey,157272,ED,NYJ,1,0,0,22,55.5,1,2,27,96.6,0.0,0,1,9.3,1,29,28,4,0,56.5,0,2,13,100.0,0.0,0,15.4,1,14,14,3
Domonique Orange,157602,DI,MIN,1,0,0,18,55.2,0,0,10,100.0,0.0,0,0,0.0,0,10,10,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Jordan Phillips,157619,DI,MIA,1,0,0,17,66.8,1,1,16,100.0,12.5,2,0,6.3,0,17,17,2,0,66.2,0,1,5,100.0,20.0,1,10.0,0,5,5,1
Mansoor Delane,157650,CB,KC,1,0,0,16,58.5,0,0,1,50.0,0.0,0,0,0.0,0,2,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
Chris McClellan,157743,DI,GB,1,0,0,12,53.2,0,0,9,100.0,0.0,0,1,0.0,0,11,11,0,0,54.8,0,0,2,100.0,0.0,0,0.0,0,4,4,0
R Mason Thomas,158080,ED,KC,1,0,0,16,62.7,0,1,19,82.6,15.8,3,0,7.9,1,23,19,2,0,64.2,0,1,9,75.0,22.2,2,5.6,0,12,9,1
Gabe Jacas,158210,ED,NE,1,0,0,19,70.7,0,0,10,100.0,20.0,2,0,10.0,1,11,11,1,0,54.3,0,0,2,100.0,0.0,0,0.0,0,3,3,0
Zion Young,158404,ED,BLT,1,0,0,3,54.4,0,0,4,100.0,0.0,0,0,0.0,0,4,4,0,0,56.6,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Mason Graham,158535,DI,CLV,1,0,0,8,59.1,0,0,15,100.0,0.0,0,1,6.7,1,15,15,1,0,53.7,0,0,6,100.0,0.0,0,0.0,0,6,6,0
Derrick Moore,158543,ED,DET,1,0,0,11,51.1,0,0,10,78.6,0.0,0,0,0.0,0,14,11,0,0,52.9,0,0,5,71.4,0.0,0,0.0,0,7,5,0
Walter Nolen,158666,DI,ARZ,1,0,0,1,63.5,0,1,26,100.0,11.5,3,0,1.9,0,27,27,1,0,69.6,0,1,8,100.0,25.0,2,6.3,0,8,8,1
LT Overton,158667,ED,DAL,1,1,0,9,64.0,0,0,7,100.0,0.0,0,0,0.0,0,7,7,0,0,56.9,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Jamaree Caldwell,162505,DI,LAC,1,0,0,27,63.5,1,0,15,100.0,6.7,1,0,3.3,0,16,16,1,0,54.3,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Kyle Louis,162770,LB,MIA,1,0,0,17,57.2,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,57.2,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Sonny Styles,162876,LB,WAS,1,0,0,32,71.4,0,1,8,25.0,12.5,1,0,18.8,1,32,8,2,0,51.8,0,0,4,22.2,0.0,0,0.0,0,18,4,0
Bryce Boettcher,163288,LB,IND,1,0,0,14,57.6,0,0,2,33.3,0.0,0,0,0.0,0,9,3,0,0,,0,0,0,0.0,,0,,0,1,0,0
A.J. Haulcy,163349,S,IND,1,0,0,14,58.8,0,0,1,3.1,0.0,0,0,0.0,0,32,1,0,0,58.8,0,0,1,9.1,0.0,0,0.0,0,11,1,0
Keionte Scott,163644,CB,TB,1,0,0,30,53.0,0,1,4,12.1,0.0,0,0,12.5,0,33,4,1,0,54.7,0,1,2,12.5,0.0,0,25.0,0,16,2,1
Christen Miller,163747,DI,NO,1,0,0,20,61.4,0,0,11,100.0,9.1,1,1,0.0,0,11,11,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Joshua Josephs,163768,ED,WAS,1,0,0,32,52.7,0,0,8,88.9,0.0,0,0,0.0,0,9,8,0,0,55.4,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Deone Walker,163783,DI,BUF,1,0,0,4,85.3,0,1,25,100.0,24.0,6,1,6.0,1,29,29,2,0,89.7,0,0,9,100.0,33.3,3,11.1,1,10,10,1
Abdul Carter,164160,ED,NYG,1,0,0,21,83.7,1,3,32,100.0,12.5,4,0,6.3,0,37,37,4,0,88.2,0,3,21,100.0,19.0,4,7.1,0,25,25,3
Dani Dennis-Sutton,164163,ED,GB,1,0,0,12,51.0,0,0,10,90.9,0.0,0,0,0.0,0,11,10,0,0,52.8,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Kevin Winston Jr.,164192,S,TEN,1,0,0,31,56.2,0,0,2,7.1,0.0,0,0,0.0,0,28,2,0,0,56.2,0,0,2,12.5,0.0,0,0.0,0,16,2,0
Levi Drake Rodriguez,165670,DI,MIN,1,0,0,18,69.6,1,1,22,100.0,13.6,3,0,9.1,1,22,22,3,0,55.4,0,0,5,100.0,0.0,0,0.0,0,5,5,0
C.J. Okoye,169780,DI,NYG,1,0,0,21,54.9,0,0,6,100.0,0.0,0,0,0.0,0,8,8,0,0,56.5,0,0,2,100.0,0.0,0,0.0,0,4,4,0
Trevor Nowaske,169859,ED,DET,1,0,0,11,57.2,0,0,1,14.3,0.0,0,0,0.0,0,7,1,0,0,57.2,0,0,1,25.0,0.0,0,0.0,0,4,1,0
T.J. Parker,170021,ED,BUF,1,0,0,4,63.9,0,1,5,100.0,20.0,1,0,10.0,0,6,6,1,0,56.2,0,0,2,100.0,0.0,0,0.0,0,2,2,0
