player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Vega Ioane,164174,G,BLT,1,0,3,53.9,100.0,11,31.4,11,76.0,1,100.0,35,35,84.7,100.0,21,60.0,21
Ronnie Stanley,10640,T,BLT,1,0,3,59.5,100.0,11,31.4,11,53.9,1,100.0,35,35,52.6,100.0,21,60.0,21
Joe Thuney,10712,G,CHI,1,0,6,56.0,100.0,8,22.9,8,57.7,0,100.0,35,35,59.4,100.0,23,65.7,23
Francis Mauigoa,170088,T,NYG,1,0,21,46.2,100.0,15,42.9,15,44.5,0,100.0,35,35,49.3,100.0,14,40.0,14
Darnell Wright,98480,T,CHI,1,0,6,90.0,100.0,8,22.9,8,88.5,0,100.0,35,35,80.2,100.0,23,65.7,23
Roger Rosengarten,131912,T,BLT,1,0,3,61.5,100.0,11,31.4,11,70.7,0,100.0,35,35,72.9,100.0,21,60.0,21
Garrett Bradbury,46013,C,CHI,1,0,6,51.2,100.0,8,22.9,8,51.3,1,100.0,35,35,48.1,100.0,23,65.7,23
John Simpson,41715,G,BLT,1,1,3,34.3,100.0,11,31.4,11,70.0,1,100.0,35,35,88.9,100.0,21,60.0,21
Jovaughn Gwyn,81839,G,BLT,1,0,3,66.5,100.0,11,31.4,11,88.2,0,100.0,35,35,90.0,100.0,21,60.0,21
Jermaine Eluemunor,11914,T,NYG,1,0,21,55.6,100.0,15,42.9,15,65.1,0,100.0,35,35,72.6,100.0,14,40.0,14
Kingsley Suamataia,146558,G,KC,1,0,16,38.1,100.0,17,48.6,17,42.0,0,100.0,35,35,54.3,100.0,15,42.9,15
Jonah Jackson,37070,G,CHI,1,0,6,73.1,100.0,8,22.9,8,79.1,0,100.0,35,35,77.6,100.0,23,65.7,23
Jon Runyan,36661,G,NYG,1,0,21,41.8,100.0,15,42.9,15,46.1,0,100.0,35,35,56.4,100.0,14,40.0,14
Jaylon Moore,43678,T,KC,1,0,16,75.7,100.0,16,47.1,16,61.3,0,100.0,34,34,49.3,100.0,15,44.1,15
Hjalte Froholdt,44959,C,ARZ,1,0,1,64.4,100.0,8,24.2,8,59.5,0,100.0,33,33,51.2,100.0,19,57.6,19
Elijah Wilkinson,46238,T,ARZ,1,0,1,54.3,100.0,8,24.2,8,44.9,0,100.0,33,33,44.2,100.0,19,57.6,19
Jon Gaines II,81879,G,ARZ,1,0,1,56.8,100.0,8,24.2,8,64.2,0,100.0,33,33,67.6,100.0,19,57.6,19
Paris Johnson Jr.,129749,T,ARZ,1,0,1,76.5,100.0,8,24.2,8,82.0,0,100.0,33,33,79.0,100.0,19,57.6,19
Jake Matthews,8641,T,ATL,1,0,2,39.7,100.0,11,34.4,11,40.0,0,100.0,32,32,47.3,100.0,19,59.4,19
Patrick Mahomes,11765,QB,KC,1,0,16,60.0,100.0,17,53.1,17,60.0,0,91.4,32,35,60.0,100.0,15,46.9,15
Caleb Williams,144622,QB,CHI,1,0,6,60.0,100.0,8,25.0,8,60.3,0,91.4,32,35,60.0,100.0,23,71.9,23
Emmanuel Pregnon,128427,G,JAX,1,0,15,35.6,100.0,15,46.9,15,45.5,0,100.0,32,32,55.6,100.0,11,34.4,11
Jawaan Taylor,41665,T,ATL,1,0,2,29.7,100.0,11,34.4,11,29.7,0,100.0,32,32,40.6,100.0,19,59.4,19
Ryan Neuzil,41123,C,ATL,1,0,2,67.3,100.0,11,34.4,11,49.8,0,100.0,32,32,49.0,100.0,19,59.4,19
Cooper Rush,12324,QB,ATL,1,0,2,60.0,100.0,11,34.4,11,60.0,0,100.0,32,32,60.0,100.0,19,59.4,19
Kirk Cousins,7102,QB,LV,1,0,23,60.0,90.9,10,31.3,11,60.1,0,88.9,32,36,60.0,100.0,19,59.4,19
Anton Harrison,122929,T,JAX,1,0,15,66.7,100.0,15,46.9,15,68.9,0,100.0,32,32,82.2,100.0,11,34.4,11
Matthew Bergeron,99658,G,ATL,1,0,2,55.4,100.0,11,34.4,11,68.8,1,100.0,32,32,68.6,100.0,19,59.4,19
Keylan Rutledge,156597,C,HST,1,0,13,72.0,100.0,15,48.4,15,69.9,0,100.0,31,31,57.0,100.0,13,41.9,13
Blake Brandel,46282,C,MIN,1,0,18,38.5,100.0,14,45.2,14,52.0,0,100.0,31,31,70.7,100.0,12,38.7,12
Christian Darrisaw,77373,T,MIN,1,0,18,63.7,100.0,14,45.2,14,67.3,0,100.0,31,31,70.3,100.0,12,38.7,12
Aireontae Ersery,129649,T,HST,1,0,13,70.9,100.0,15,48.4,15,62.9,0,100.0,31,31,53.9,100.0,13,41.9,13
Drake London,86519,WR,ATL,1,0,2,48.6,100.0,11,35.5,11,61.4,0,96.9,31,32,72.0,100.0,19,61.3,19
Lamar Jackson,46416,QB,BLT,1,0,3,60.0,90.9,10,32.3,11,60.0,0,88.6,31,35,60.0,100.0,21,67.7,21
Evan Brown,38709,G,HST,1,0,13,65.7,100.0,15,48.4,15,60.1,0,100.0,31,31,58.9,100.0,13,41.9,13
Donovan Jackson,145064,G,MIN,1,0,18,61.8,100.0,14,45.2,14,53.3,0,100.0,31,31,40.9,100.0,12,38.7,12
Will Fries,41530,G,MIN,1,0,18,54.4,100.0,14,45.2,14,52.9,0,100.0,31,31,55.6,100.0,12,38.7,12
Ed Ingram,59819,G,HST,1,0,13,63.9,100.0,15,48.4,15,79.9,0,100.0,31,31,88.0,100.0,13,41.9,13
Brian O'Neill,46854,T,MIN,1,0,18,63.6,100.0,14,45.2,14,66.9,0,100.0,31,31,68.7,100.0,12,38.7,12
Trent Brown,9677,T,HST,1,0,13,61.6,100.0,15,48.4,15,47.9,0,100.0,31,31,50.0,100.0,13,41.9,13
C.J. Stroud,129759,QB,HST,1,0,13,60.0,100.0,15,50.0,15,60.0,0,96.8,30,31,60.0,100.0,13,43.3,13
Isaac Seumalo,10713,G,ARZ,1,0,1,64.0,100.0,8,26.7,8,55.5,0,100.0,30,30,52.5,100.0,19,63.3,19
Josh Oliver,47083,TE,MIN,1,0,18,54.4,100.0,14,46.7,14,62.7,0,100.0,30,30,72.3,100.0,11,36.7,11
Ben Bartch,84236,G,DET,1,0,11,76.9,100.0,15,50.0,15,66.7,1,100.0,30,30,64.8,100.0,14,46.7,14
Amon-Ra St. Brown,84470,WR,DET,1,0,11,50.7,100.0,14,46.7,14,53.2,0,100.0,30,30,58.8,100.0,15,50.0,15
Malachi Fields,151069,WR,NYG,1,0,21,60.5,100.0,12,41.4,12,73.2,0,100.0,29,29,79.4,100.0,13,44.8,13
Brandon Coleman,123068,T,WAS,1,0,32,56.7,100.0,8,27.6,8,64.3,0,100.0,29,29,67.1,100.0,21,72.4,21
Josh Conerly Jr.,163291,T,WAS,1,0,32,42.8,100.0,8,27.6,8,71.5,0,100.0,29,29,83.5,100.0,21,72.4,21
Sam Cosmi,60114,G,WAS,1,0,32,74.6,100.0,8,27.6,8,71.6,0,100.0,29,29,65.3,100.0,21,72.4,21
Durham Smythe,47257,TE,BLT,1,0,3,59.6,100.0,11,37.9,11,71.7,0,100.0,29,29,80.7,100.0,15,51.7,15
Chris Paul,77579,G,WAS,1,0,32,50.7,100.0,8,27.6,8,56.6,0,100.0,29,29,68.9,100.0,21,72.4,21
Nick Allegretti,39268,G,WAS,1,0,32,53.7,100.0,8,27.6,8,42.1,0,100.0,29,29,51.7,100.0,21,72.4,21
Dominick Puni,163815,G,SF,1,0,28,67.0,100.0,5,17.9,5,62.5,0,100.0,28,28,70.1,100.0,19,67.9,19
Jake Brendel,11117,C,SF,1,0,28,57.4,100.0,5,17.9,5,67.2,0,100.0,28,28,73.2,100.0,19,67.9,19
Connor Colby,144862,G,SF,1,0,28,63.9,100.0,5,17.9,5,58.1,0,100.0,28,28,59.8,100.0,19,67.9,19
Trent Williams,5529,T,SF,1,0,28,58.2,100.0,5,17.9,5,67.1,0,100.0,28,28,69.9,100.0,19,67.9,19
Alaric Jackson,40972,T,LA,1,0,26,69.7,100.0,20,71.4,20,65.9,0,100.0,28,28,56.2,100.0,6,21.4,6
Colton McKivitz,29314,T,SF,1,0,28,83.6,100.0,5,17.9,5,77.8,0,100.0,28,28,63.5,100.0,19,67.9,19
Steve Avila,77319,G,LA,1,0,26,90.2,100.0,20,71.4,20,90.3,0,100.0,28,28,72.9,100.0,6,21.4,6
Coleman Shelton,39316,C,LA,1,0,26,86.8,100.0,20,71.4,20,88.2,0,100.0,28,28,71.6,100.0,6,21.4,6
Warren McClendon Jr.,99081,T,LA,1,0,26,63.2,100.0,20,71.4,20,61.7,0,100.0,28,28,60.9,100.0,6,21.4,6
Jacoby Brissett,10725,QB,ARZ,1,0,1,60.0,100.0,8,28.6,8,60.0,0,84.8,28,33,60.0,100.0,19,67.9,19
Colston Loveland,158540,TE,CHI,1,0,6,65.8,100.0,6,22.2,6,66.5,1,100.0,27,27,58.9,100.0,19,70.4,19
Jayden Daniels,97993,QB,WAS,1,0,32,60.0,100.0,8,29.6,8,60.0,0,93.1,27,29,60.0,90.5,19,70.4,21
Michael Mayer,122906,TE,LV,1,0,23,63.4,100.0,8,29.6,8,74.1,0,100.0,27,27,78.6,100.0,16,59.3,16
Mike Onwenu,27357,G,NE,1,0,19,66.8,100.0,14,51.9,14,66.8,0,100.0,27,27,64.7,100.0,9,33.3,9
Morgan Moses,8701,T,NE,1,0,19,56.5,100.0,14,51.9,14,68.1,0,100.0,27,27,66.4,100.0,9,33.3,9
Jaxson Dart,146409,QB,NYG,1,0,21,60.0,100.0,15,55.6,15,60.0,0,77.1,27,35,60.0,85.7,12,44.4,14
Garrett Wilson,97405,WR,NYJ,1,0,22,60.0,100.0,13,48.1,13,59.4,0,100.0,27,27,59.6,100.0,13,48.1,13
Sam LaPorta,101690,TE,DET,1,0,11,69.2,100.0,12,44.4,12,56.6,0,100.0,27,27,57.8,100.0,14,51.9,14
Will Campbell,157106,T,NE,1,0,19,57.8,100.0,14,51.9,14,55.7,2,100.0,27,27,46.8,100.0,9,33.3,9
Alijah Vera-Tucker,57107,G,NE,1,0,19,53.0,100.0,14,51.9,14,61.5,0,100.0,27,27,63.0,100.0,9,33.3,9
Patrick Ricard,48862,FB,NYG,1,0,21,69.0,100.0,12,44.4,12,62.0,0,100.0,27,27,55.6,100.0,9,33.3,9
Jared Wilson,146717,G,NE,1,0,19,70.8,100.0,14,51.9,14,65.8,0,100.0,27,27,64.5,100.0,9,33.3,9
Orlando Brown Jr.,46227,T,CIN,1,0,7,57.1,100.0,12,46.2,12,48.8,0,100.0,26,26,45.7,100.0,9,34.6,9
Dalton Risner,47008,G,CIN,1,0,7,63.0,100.0,12,46.2,12,49.5,0,100.0,26,26,51.3,100.0,9,34.6,9
Kevin Dotson,46735,G,LA,1,0,26,78.5,100.0,18,69.2,18,84.2,0,100.0,26,26,77.7,100.0,6,23.1,6
Drake Maye,143969,QB,NE,1,0,19,60.0,100.0,14,53.8,14,60.0,0,96.3,26,27,60.0,100.0,9,34.6,9
Nate Boerkircher,129676,TE,JAX,1,0,15,60.6,100.0,12,46.2,12,54.9,1,100.0,26,26,51.5,100.0,9,34.6,9
Rashee Rice,97605,WR,KC,1,0,16,82.5,100.0,11,42.3,11,77.0,0,100.0,26,26,60.2,100.0,12,46.2,12
Mason Taylor,157122,TE,NYJ,1,0,22,65.8,100.0,10,38.5,10,76.2,0,100.0,26,26,71.1,100.0,11,42.3,11
Amarius Mims,146719,T,CIN,1,0,7,54.2,100.0,12,46.2,12,49.8,0,100.0,26,26,49.7,100.0,9,34.6,9
Dylan Fairchild,146716,G,CIN,1,0,7,51.6,100.0,12,46.2,12,61.0,0,100.0,26,26,71.0,100.0,9,34.6,9
Justin Jefferson,61398,WR,MIN,1,0,18,63.9,100.0,13,50.0,13,62.6,0,100.0,26,26,60.2,100.0,11,42.3,11
Jameson Williams,101701,WR,DET,1,0,11,61.3,100.0,10,38.5,10,60.4,0,100.0,26,26,59.6,100.0,15,57.7,15
Ted Karras,10855,C,CIN,1,0,7,47.5,100.0,12,46.2,12,58.1,0,100.0,26,26,62.0,100.0,9,34.6,9
Robert Hainsey,59980,C,JAX,1,0,15,60.5,100.0,14,56.0,14,63.5,0,100.0,25,25,56.6,100.0,8,32.0,8
Luther Burden III,157170,WR,CHI,1,0,6,53.4,100.0,7,28.0,7,54.9,0,96.2,25,26,59.8,100.0,16,64.0,16
Chris Lindstrom,46692,G,ATL,1,0,2,61.7,100.0,10,40.0,10,72.3,0,100.0,25,25,68.1,100.0,15,60.0,15
Ezra Cleveland,41973,G,JAX,1,0,15,49.9,100.0,14,56.0,14,61.0,0,100.0,25,25,64.0,100.0,8,32.0,8
Brock Purdy,77672,QB,SF,1,0,28,60.0,100.0,5,20.0,5,60.0,0,89.3,25,28,60.0,100.0,19,76.0,19
Michael Wilson,84423,WR,ARZ,1,0,1,59.0,100.0,5,20.0,5,59.5,0,100.0,25,25,60.6,100.0,17,68.0,17
Brock Wright,60994,TE,DET,1,0,11,54.9,100.0,12,48.0,12,60.8,0,100.0,25,25,65.3,100.0,13,52.0,13
Trevor Lawrence,77632,QB,JAX,1,0,15,60.0,100.0,14,58.3,14,60.3,0,96.0,24,25,60.0,100.0,8,33.3,8
Colby Parkinson,52266,TE,LA,1,0,26,46.0,100.0,16,66.7,16,52.5,0,100.0,24,24,68.7,100.0,6,25.0,6
Mack Hollins,11873,WR,NE,1,0,19,75.9,100.0,13,54.2,13,76.8,0,100.0,24,24,49.8,100.0,9,37.5,9
Rashod Bateman,84296,WR,BLT,1,0,3,60.6,100.0,8,33.3,8,56.9,0,100.0,24,24,55.9,100.0,16,66.7,16
Carson Wentz,10636,QB,MIN,1,0,18,60.0,100.0,13,56.5,13,60.0,0,85.2,23,27,60.0,100.0,9,39.1,9
Adonai Mitchell,146712,WR,NYJ,1,0,22,49.3,100.0,10,43.5,10,36.3,0,100.0,23,23,60.4,100.0,12,52.2,12
David Edwards,35941,G,NO,1,0,20,59.6,100.0,2,8.7,2,53.4,0,100.0,23,23,53.2,100.0,16,69.6,16
Erik McCoy,37347,C,NO,1,0,20,60.0,100.0,2,8.7,2,57.5,0,100.0,23,23,60.2,100.0,16,69.6,16
Luke Farrell,42353,TE,SF,1,0,28,59.6,100.0,5,21.7,5,63.5,0,100.0,23,23,74.4,100.0,14,60.9,14
Foster Moreau,47043,TE,HST,1,0,13,59.6,100.0,11,47.8,11,56.9,0,100.0,23,23,56.8,100.0,11,47.8,11
Taliese Fuaga,131732,T,NO,1,0,20,59.3,100.0,2,8.7,2,45.1,0,100.0,23,23,44.1,100.0,16,69.6,16
Ja'Marr Chase,84270,WR,CIN,1,0,7,62.4,100.0,10,43.5,10,60.7,0,100.0,23,23,61.1,100.0,9,39.1,9
Terry McLaurin,48229,WR,WAS,1,0,32,59.9,100.0,7,30.4,7,60.7,0,100.0,23,23,60.9,100.0,16,69.6,16
Kelvin Banks Jr.,163839,T,NO,1,0,20,58.5,100.0,2,8.7,2,59.5,0,100.0,23,23,55.8,100.0,16,69.6,16
Cesar Ruiz,59857,G,NO,1,0,20,59.9,100.0,2,8.7,2,45.4,0,100.0,23,23,46.1,100.0,16,69.6,16
Anthony Bradford,99103,G,SEA,1,0,29,57.9,100.0,3,13.6,3,75.1,1,100.0,22,22,79.7,100.0,16,72.7,16
Donovan Jennings,86861,G,GB,1,0,12,47.7,100.0,10,45.5,10,47.7,0,100.0,22,22,53.8,100.0,11,50.0,11
Marvin Harrison Jr.,145056,WR,ARZ,1,0,1,61.1,100.0,7,31.8,7,60.3,0,100.0,22,22,59.6,100.0,13,59.1,13
Abraham Lucas,60218,T,SEA,1,0,29,70.0,100.0,3,13.6,3,84.2,0,100.0,22,22,83.3,100.0,16,72.7,16
Sean Rhyan,72009,C,GB,1,0,12,56.8,100.0,10,45.5,10,64.8,1,100.0,22,22,70.7,100.0,11,50.0,11
Joe Burrow,28022,QB,CIN,1,0,7,60.0,100.0,12,54.5,12,60.0,0,84.6,22,26,60.0,100.0,9,40.9,9
Kalif Raymond,11028,WR,CHI,1,0,6,91.9,100.0,5,22.7,5,84.2,0,100.0,22,22,58.5,100.0,15,68.2,15
Drew Sample,47259,TE,CIN,1,0,7,48.8,100.0,10,45.5,10,58.0,0,100.0,22,22,72.4,100.0,8,36.4,8
Zach Bako-Bewele,55443,T,GB,1,0,12,48.8,100.0,10,45.5,10,57.6,0,100.0,22,22,66.7,100.0,11,50.0,11
Rasheed Walker,81798,T,CAR,1,0,5,63.3,100.0,9,40.9,9,81.8,0,100.0,22,22,87.3,100.0,13,59.1,13
Jacob Monk,98058,G,GB,1,0,12,53.7,100.0,10,45.5,10,56.1,0,100.0,22,22,60.5,100.0,11,50.0,11
Grey Zabel,125314,G,SEA,1,0,29,58.1,100.0,3,13.6,3,63.3,0,100.0,22,22,65.2,100.0,16,72.7,16
Noah Gray,60878,TE,KC,1,0,16,43.1,100.0,13,59.1,13,43.8,0,100.0,22,22,63.7,100.0,9,40.9,9
Tyquan Thornton,78092,WR,KC,1,0,16,57.1,100.0,10,45.5,10,53.4,0,100.0,22,22,53.3,100.0,12,54.5,12
Tyler Shough,83537,QB,NO,1,0,20,60.0,100.0,2,9.1,2,60.0,0,95.7,22,23,60.0,93.8,15,68.2,16
Jordan Morgan,98652,T,GB,1,0,12,57.2,100.0,10,45.5,10,51.3,0,100.0,22,22,50.0,100.0,11,50.0,11
Charlie Woerner,42257,TE,ATL,1,0,2,44.1,100.0,9,40.9,9,54.5,0,100.0,22,22,65.2,100.0,12,54.5,12
Mike Evans,8642,WR,SF,1,0,28,60.4,100.0,5,22.7,5,60.3,0,100.0,22,22,61.4,100.0,14,63.6,14
Braxton Jones,60092,T,CHI,1,0,6,60.6,100.0,5,22.7,5,67.9,0,100.0,22,22,68.8,100.0,15,68.2,15
Ian Thomas,42130,TE,LV,1,0,23,55.0,100.0,9,40.9,9,69.1,0,100.0,22,22,79.1,100.0,9,40.9,9
Jordan Addison,123000,WR,MIN,1,0,18,49.9,100.0,10,45.5,10,49.0,0,100.0,22,22,54.6,100.0,11,50.0,11
Xavier Worthy,144718,WR,KC,1,0,16,62.4,100.0,10,45.5,10,59.6,0,100.0,22,22,58.2,100.0,12,54.5,12
Cole Kmet,60995,TE,CHI,1,0,6,78.1,100.0,5,22.7,5,75.4,0,100.0,22,22,60.1,100.0,13,59.1,13
Charles Cross,98401,T,SEA,1,0,29,47.4,100.0,3,13.6,3,49.7,0,100.0,22,22,55.0,100.0,16,72.7,16
Jalen Sundell,91396,C,SEA,1,0,29,59.3,100.0,3,13.6,3,71.4,0,100.0,22,22,74.0,100.0,16,72.7,16
Trey McBride,75916,TE,ARZ,1,0,1,58.1,100.0,7,31.8,7,57.3,0,100.0,22,22,58.7,100.0,12,54.5,12
Isaiah Williams,97156,WR,NYJ,1,0,22,57.9,100.0,10,47.6,10,53.2,0,100.0,21,21,52.7,100.0,6,28.6,6
Zach Frazier,123419,C,PIT,1,0,25,60.0,100.0,6,28.6,6,55.8,0,100.0,21,21,54.6,100.0,12,57.1,12
Eli Raridon,156970,TE,NE,1,0,19,48.1,100.0,10,47.6,10,49.5,0,100.0,21,21,70.2,100.0,8,38.1,8
Brenton Strange,101694,TE,JAX,1,0,15,61.5,100.0,10,47.6,10,57.5,0,100.0,21,21,53.9,100.0,7,33.3,7
Jordan Love,40306,QB,GB,1,0,12,60.0,100.0,10,47.6,10,60.0,0,95.5,21,22,60.0,100.0,11,52.4,11
Travis Kelce,7844,TE,KC,1,0,16,60.5,100.0,9,42.9,9,65.6,0,100.0,21,21,68.6,100.0,12,57.1,12
Mason McCormick,78326,G,PIT,1,0,25,56.2,100.0,6,28.6,6,57.3,0,100.0,21,21,69.5,100.0,12,57.1,12
Mark Andrews,47436,TE,BLT,1,0,3,60.2,100.0,8,38.1,8,75.0,0,100.0,21,21,70.4,100.0,13,61.9,13
Jeremy Ruckert,84029,TE,NYJ,1,0,22,55.4,100.0,11,52.4,11,59.5,0,100.0,21,21,65.9,100.0,9,42.9,9
Spencer Anderson,81719,G,PIT,1,0,25,46.3,100.0,6,28.6,6,58.7,0,100.0,21,21,67.9,100.0,12,57.1,12
Troy Fautanu,100521,T,PIT,1,0,25,55.1,100.0,6,28.6,6,37.4,0,100.0,21,21,35.4,100.0,12,57.1,12
Dylan Cook,91689,T,PIT,1,0,25,69.1,100.0,6,28.6,6,83.6,0,100.0,21,21,82.5,100.0,12,57.1,12
Damien Lewis,81532,G,CAR,1,0,5,55.2,100.0,9,42.9,9,78.7,0,100.0,21,21,89.3,100.0,12,57.1,12
Jalen Nailor,84292,WR,LV,1,0,23,61.0,100.0,7,33.3,7,63.1,0,100.0,21,21,62.6,100.0,14,66.7,14
Matthew Stafford,4924,QB,LA,1,0,26,60.0,100.0,14,70.0,14,60.0,0,90.9,20,22,60.0,100.0,6,30.0,6
Isaac TeSlaa,172430,WR,DET,1,0,11,50.2,100.0,11,55.0,11,51.7,0,100.0,20,20,59.1,100.0,8,40.0,8
Spencer Brown,42296,T,BUF,1,0,4,51.9,100.0,8,40.0,8,59.6,0,100.0,20,20,67.2,100.0,9,45.0,9
Kyle Juszczyk,7912,FB,SF,1,0,28,53.8,100.0,4,20.0,4,51.5,0,100.0,20,20,67.7,100.0,14,70.0,14
Dallas Goedert,47272,TE,PHI,1,0,24,78.4,100.0,5,25.0,5,68.0,0,100.0,20,20,68.3,100.0,13,65.0,13
Tyler Steen,81921,G,PHI,1,0,24,55.5,100.0,5,25.0,5,62.2,0,100.0,20,20,65.2,100.0,13,65.0,13
Lane Johnson,7786,T,PHI,1,0,24,85.5,100.0,5,25.0,5,72.6,0,100.0,20,20,58.8,100.0,13,65.0,13
Dion Dawkins,11818,T,BUF,1,0,4,50.1,100.0,8,40.0,8,39.9,0,100.0,20,20,42.2,100.0,9,45.0,9
Connor McGovern,41714,C,BUF,1,0,4,56.3,100.0,8,40.0,8,60.6,0,100.0,20,20,64.9,100.0,9,45.0,9
Landon Dickerson,41712,G,PHI,1,0,24,54.9,100.0,5,25.0,5,47.0,0,100.0,20,20,47.8,100.0,13,65.0,13
Jordan Mailata,66916,T,PHI,1,0,24,56.8,100.0,5,25.0,5,66.4,0,100.0,20,20,83.2,100.0,13,65.0,13
Tre Tucker,101106,WR,LV,1,0,23,53.9,100.0,6,30.0,6,52.6,0,100.0,20,20,55.4,100.0,12,60.0,12
O'Cyrus Torrence,102821,G,BUF,1,0,4,53.4,100.0,8,40.0,8,43.3,0,100.0,20,20,52.5,100.0,9,45.0,9
Alec Anderson,81882,G,BUF,1,0,4,58.9,100.0,8,40.0,8,54.9,0,100.0,20,20,54.7,100.0,9,45.0,9
Cam Jurgens,84014,C,PHI,1,0,24,68.2,100.0,5,25.0,5,67.6,2,100.0,20,20,62.6,100.0,13,65.0,13
Daniel Jones,39395,QB,IND,1,0,14,60.0,100.0,6,31.6,6,60.0,0,100.0,19,19,60.0,100.0,13,68.4,13
Tanor Bortolini,129915,C,IND,1,0,14,58.2,100.0,6,31.6,6,40.7,0,100.0,19,19,35.6,100.0,13,68.4,13
Darnell Washington,124044,TE,PIT,1,0,25,68.3,100.0,6,31.6,6,63.3,0,100.0,19,19,69.1,100.0,10,52.6,10
Cade Stover,101486,TE,HST,1,0,13,55.2,100.0,9,47.4,9,68.9,0,100.0,19,19,71.8,100.0,9,47.4,9
Chris Manhertz,10211,TE,NYG,1,0,21,51.4,100.0,8,42.1,8,69.8,0,100.0,19,19,89.5,100.0,5,26.3,5
Devaughn Vele,100637,WR,NO,1,0,20,60.0,100.0,1,5.3,1,56.8,0,100.0,19,19,56.6,100.0,14,73.7,14
Quenton Nelson,12954,G,IND,1,0,14,72.8,100.0,6,31.6,6,87.9,0,100.0,19,19,79.5,100.0,13,68.4,13
Demarcus Robinson,10760,WR,SF,1,1,28,59.9,100.0,4,21.1,4,75.9,1,100.0,19,19,79.6,100.0,13,68.4,13
AJ Barner,129433,TE,SEA,1,0,29,55.1,100.0,3,15.8,3,72.5,0,95.0,19,20,75.3,100.0,15,78.9,15
Puka Nacua,100632,WR,LA,1,0,26,56.9,100.0,13,68.4,13,57.4,0,100.0,19,19,60.4,100.0,4,21.1,4
