player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Arden Key,50201,ED,IND,1,1,0,,0,1,14,0,0,64.3,74.3,77.3,81.3,56.0,49.2,0,2,0,0,,25.0,1,0,0,0.0,0,1,0,0,0,4,48,48,0,2,46,0,0,0,19,25,0,3,2,0,0,3,0,0,0,
Oren Burks,50203,LB,CIN,1,0,0,,0,0,7,0,0,61.4,62.6,64.5,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
Josh Hines-Allen,50235,ED,JAX,1,0,0,,0,1,15,1,0,41.8,78.2,78.0,77.3,75.7,27.3,0,3,0,0,,50.0,3,0,0,0.0,0,2,0,0,0,3,38,38,0,0,37,1,0,0,22,13,0,5,3,0,0,5,0,0,0,
Jeremy Reaves,50406,S,WAS,1,0,0,100.0,0,0,32,0,0,49.3,52.7,78.3,,70.1,82.9,0,0,0,0,17,0.0,0,0,0,158.3,1,0,0,12,0,35,55,5,0,0,5,0,35,50,0,20,3,0,4,0,1,0,1,17,0,17.0
Jalen Davis,50431,CB,CIN,1,3,0,83.3,0,0,7,0,0,60.9,70.6,76.1,60.0,91.1,62.7,0,0,0,0,13,16.7,1,1,0,94.4,5,0,0,2,1,31,45,0,0,0,0,0,0,45,1,13,42,2,2,1,6,0,0,40,16,8.0
Mike Jackson,50437,CB,CAR,1,0,0,0.0,0,0,5,0,0,73.0,61.0,78.3,,28.1,29.3,0,0,0,0,,33.3,1,0,0,39.6,0,0,0,5,69,40,75,0,0,0,0,0,0,75,0,35,1,0,2,0,1,0,0,0,0,
Mike Ford,50535,CB,ATL,1,0,0,,0,0,2,0,0,,60.0,67.5,60.0,,,1,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,
Avonte Maddox,50543,S,DET,1,1,0,50.0,0,0,11,0,0,53.1,55.6,78.3,69.6,63.8,81.5,0,1,0,0,31,0.0,0,1,0,116.0,3,0,0,35,2,60,85,2,0,0,2,0,26,83,2,23,20,1,7,0,6,1,1,47,5,15.7
Charles Omenihu,50612,ED,WAS,1,0,1,,0,0,32,0,0,,67.0,76.3,74.5,47.8,,0,2,0,0,,,0,0,0,0.0,0,0,0,0,0,0,29,29,1,17,4,7,0,0,22,7,0,0,0,0,0,2,0,0,0,
Cody Barton,50727,LB,TEN,1,0,0,100.0,0,0,31,0,0,66.9,57.7,75.6,54.8,50.1,76.4,0,0,0,0,6,0.0,0,0,0,87.5,2,0,0,45,0,25,65,17,0,0,17,0,0,48,3,37,3,2,3,0,2,0,0,10,6,5.0
Jordyn Brooks,50851,LB,MIA,1,2,0,100.0,0,0,17,0,0,87.2,89.8,73.7,74.5,73.4,82.2,1,0,0,0,8,0.0,0,0,0,86.7,5,0,0,56,0,27,67,9,0,0,9,0,0,58,5,35,2,6,9,0,5,1,0,24,12,4.8
