player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Dawson Knox,35883,TE,BUF,1,60.5,0,4,55.4,62.0,60.8,0,0,5,29.4,31.8,100.0,0,0,0,23,0,0,0,38,7,22,0,0,16,27
Carson Wentz,10636,QB,MIN,1,42.6,0,18,63.4,,60.0,0,0,0,0.0,0.0,,0,0,0,23,0,0,0,54,0,27,0,0,23,0
John Bates,42275,TE,WAS,1,67.6,0,32,55.9,77.0,55.4,0,0,4,28.6,31.3,100.0,0,0,0,23,0,0,1,34,5,16,0,0,18,23
Trey McBride,75916,TE,ARZ,1,38.3,0,1,81.6,69.8,57.3,0,0,1,2.9,2.6,100.0,0,0,0,23,0,0,0,60,1,38,0,0,22,27
Kalif Raymond,11028,WR,CHI,1,48.9,0,6,90.2,,84.2,0,0,0,0.0,0.0,,0,0,0,22,0,0,0,45,0,23,0,0,22,1
Xavier Worthy,144718,WR,KC,1,41.5,0,16,57.3,,59.6,0,0,0,0.0,0.0,,0,0,0,22,0,0,0,53,0,31,0,0,22,3
Tyquan Thornton,78092,WR,KC,1,46.8,0,16,50.1,,53.4,0,0,0,0.0,0.0,,0,0,0,22,0,0,0,47,0,25,0,0,22,5
Marvin Harrison Jr.,145056,WR,ARZ,1,37.3,0,1,54.6,,60.3,0,0,0,0.0,0.0,,0,0,0,22,0,0,0,59,0,37,0,0,22,0
Jordan Addison,123000,WR,MIN,1,40.7,0,18,49.9,,49.0,0,0,0,0.0,0.0,,0,0,0,22,0,0,0,54,0,32,0,0,22,0
Tyler Shough,83537,QB,NO,1,24.4,0,20,75.0,,60.0,0,0,0,0.0,0.0,,2,0,0,22,0,0,0,90,0,67,0,0,22,0
Joe Burrow,28022,QB,CIN,1,34.4,0,7,66.2,,60.0,0,0,0,0.0,0.0,,0,0,0,22,0,0,0,64,0,38,0,0,22,0
Mike Evans,8642,WR,SF,1,44.9,0,28,81.7,,60.3,0,0,0,0.0,0.0,,0,0,0,22,0,0,0,49,0,27,0,0,22,0
Kyle Juszczyk,7912,FB,SF,1,66.7,0,28,48.7,69.1,51.5,0,0,2,15.4,15.4,100.0,0,0,0,22,0,0,0,33,2,13,0,0,20,13
Travis Kelce,7844,TE,KC,1,44.9,0,16,73.8,62.0,65.6,0,0,1,3.7,3.6,100.0,0,0,0,22,0,0,0,49,1,28,0,0,21,32
Max Bredeson,144930,FB,MIN,1,91.7,0,18,59.7,77.1,58.7,0,0,4,66.7,66.7,100.0,0,0,0,22,0,0,0,24,4,6,0,0,18,3
Chris Manhertz,10211,TE,NYG,1,87.5,0,21,68.0,45.5,69.8,0,0,2,40.0,40.0,100.0,0,0,0,21,0,0,0,24,2,5,0,0,19,23
Hunter Long,60859,TE,ARZ,1,80.8,0,1,65.8,71.8,76.4,0,0,3,37.5,37.5,100.0,1,0,0,21,0,0,0,26,3,8,0,0,18,24
Isaiah Williams,97156,WR,NYJ,1,52.5,0,22,51.7,,53.2,0,0,0,0.0,0.0,,0,0,0,21,0,0,0,40,0,19,0,0,21,0
Jordan Love,40306,QB,GB,1,30.9,0,12,50.9,,60.0,0,0,0,0.0,0.0,,1,0,0,21,0,0,0,68,0,46,0,0,21,0
Walker Little,52287,T,JAX,1,100.0,0,15,68.4,76.6,65.6,0,0,5,100.0,100.0,100.0,0,0,0,21,0,0,0,21,5,5,0,20,16,1
Jackson Hawes,109374,TE,BUF,1,87.5,0,4,66.1,58.5,68.0,0,0,5,62.5,62.5,100.0,0,0,0,21,0,0,0,24,5,8,0,0,16,21
Jalen Nailor,84292,WR,LV,1,51.2,0,23,74.0,,63.1,0,0,0,0.0,0.0,,0,0,0,21,0,0,0,41,0,20,0,0,21,0
