player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Quincy Williams,49779,LB,CLV,1,1,5.5,0,0,8,29.3,29.9,74.1,56.5,49.2,47.6,25.0,1,0,30,31,3.3,1,2
Azeez Al-Shaair,49792,LB,HST,1,0,1.8,0,0,13,54.8,61.0,75.5,,68.7,41.0,25.0,2,0,20,20,25.0,5,6
Zaire Franklin,49834,LB,GB,1,2,3.0,0,0,12,46.1,36.4,75.5,68.0,36.6,78.3,0.0,0,0,31,31,3.2,1,2
B.J. Hill,49894,DI,CIN,1,0,,0,0,7,,33.1,0.0,56.8,43.3,,,0,1,8,9,0.0,0,0
Sebastian Joseph-Day,49935,DI,PIT,1,0,1.0,0,0,25,60.0,68.2,73.3,52.0,72.6,68.4,0.0,0,0,9,9,11.1,1,1
Jerry Tillery,49949,DI,IND,1,0,3.0,0,0,14,,53.8,76.7,66.6,51.0,69.9,0.0,0,0,25,26,8.0,2,3
Broderick Washington,50049,DI,BLT,1,0,2.0,0,0,3,61.3,38.4,75.0,53.7,29.5,67.3,0.0,0,0,12,12,8.3,1,1
Uchenna Nwosu,50084,ED,SEA,1,1,0.3,0,0,29,91.6,76.7,76.4,50.4,66.5,37.1,20.0,1,0,12,13,25.0,3,3
John Franklin-Myers,50088,DI,TEN,1,0,2.3,0,0,31,,52.7,78.0,52.8,55.4,34.1,25.0,1,0,21,23,14.3,3,3
Josh Sweat,50120,ED,ARZ,1,0,-1.0,0,0,1,,40.4,77.3,49.3,44.2,69.9,0.0,0,0,6,6,16.7,1,1
Ogbo Okoronkwo,50130,ED,SF,1,0,,0,0,28,,59.9,77.3,60.4,58.0,,,0,0,6,6,0.0,0,0
Jacob Martin,50152,ED,TEN,1,0,,0,0,31,46.7,37.7,76.8,48.7,54.1,21.5,,0,0,12,12,0.0,0,0
Malcolm Roach,50191,DI,DEN,1,0,3.0,0,0,10,58.0,49.2,76.3,58.1,53.1,23.4,33.3,1,0,13,14,15.4,2,2
Arden Key,50201,ED,IND,1,0,2.5,0,0,14,64.3,74.3,77.3,81.3,56.0,49.2,0.0,0,0,25,25,8.0,2,2
Josh Hines-Allen,50235,ED,JAX,1,0,2.3,0,0,15,41.8,78.2,78.0,77.3,75.7,27.3,0.0,0,0,13,13,23.1,3,3
Jeremy Reaves,50406,S,WAS,1,0,24.5,0,0,32,49.3,52.7,78.3,,70.1,82.9,0.0,0,0,19,20,0.0,0,2
Jalen Davis,50431,CB,CIN,1,0,-4.0,0,0,7,60.9,70.6,76.1,60.0,91.1,62.7,0.0,0,0,11,13,9.1,1,1
Mike Jackson,50437,CB,CAR,1,0,,0,0,5,73.0,61.0,78.3,,28.1,29.3,100.0,1,0,32,35,0.0,0,0
Avonte Maddox,50543,S,DET,1,1,6.5,0,0,11,53.1,55.6,78.3,69.6,63.8,81.5,0.0,0,0,23,23,4.3,1,4
Charles Omenihu,50612,ED,WAS,1,0,,0,0,32,,67.0,76.3,74.5,47.8,,,0,0,6,7,0.0,0,0
Cody Barton,50727,LB,TEN,1,0,12.0,0,0,31,66.9,57.7,75.6,54.8,50.1,76.4,0.0,0,0,35,37,0.0,0,1
Jordyn Brooks,50851,LB,MIA,1,1,4.3,0,0,17,87.2,89.8,73.7,74.5,73.4,82.2,0.0,0,0,35,35,5.7,2,4
Roquan Smith,50892,LB,BLT,1,2,2.5,0,0,3,93.0,91.4,75.1,53.9,49.2,63.4,20.0,1,0,19,19,10.5,2,2
Tremaine Edmunds,50905,LB,NYG,1,0,1.5,0,0,21,71.7,73.8,75.2,55.1,68.6,81.0,0.0,0,0,16,17,12.5,2,2
Robert Spillane,50918,LB,NE,1,1,2.0,0,0,19,42.8,51.4,76.7,67.9,64.9,67.1,25.0,1,0,21,22,9.5,2,2
Bobby Okereke,50954,LB,CAR,1,1,-1.0,0,0,5,67.3,60.9,74.2,80.7,47.6,81.2,0.0,0,0,32,35,3.1,1,1
Frankie Luvu,51028,LB,WAS,1,1,,0,0,32,56.4,49.8,73.2,66.7,44.0,77.6,0.0,0,0,9,10,0.0,0,0
Jahlani Tavai,51055,LB,JAX,1,1,,0,0,15,50.7,51.9,66.8,60.0,63.5,29.7,0.0,0,0,3,3,0.0,0,0
Julian Love,51081,S,SEA,1,1,-0.3,0,0,29,89.3,89.9,78.2,38.4,69.7,66.7,0.0,0,0,25,27,12.0,3,3
P.J. Locke,51189,S,DAL,1,1,,0,0,9,42.5,33.0,72.2,,51.2,31.9,50.0,1,0,8,8,0.0,0,0
Minkah Fitzpatrick,51206,S,NYJ,1,0,,0,0,22,61.8,62.6,70.9,,60.0,,,0,0,2,2,0.0,0,0
Fred Warner,51222,LB,SF,1,5,4.3,0,0,28,85.3,91.1,76.3,52.8,88.4,84.6,0.0,0,0,23,23,8.7,2,4
Drue Tranquill,51276,LB,KC,1,2,2.3,0,0,16,68.9,76.3,76.2,50.5,82.0,79.9,0.0,0,0,14,16,21.4,3,3
Derwin James Jr.,51368,S,LAC,1,1,2.5,0,0,27,53.7,53.9,76.7,53.3,60.3,47.0,25.0,1,0,33,33,3.0,1,2
Amani Hooker,51378,S,TEN,1,3,5.3,0,0,31,57.8,67.0,73.7,58.8,76.7,52.4,12.5,1,0,35,37,2.9,1,4
Marcus Epps,51391,S,PHI,1,0,7.3,0,0,24,72.8,79.9,75.3,,72.7,84.9,0.0,0,0,22,22,4.5,1,3
Jaylinn Hawkins,51423,S,BLT,1,0,,0,0,3,70.8,73.0,74.0,57.9,61.2,79.5,,0,0,18,18,0.0,0,0
Kaden Elliss,51485,LB,NO,1,0,2.6,0,0,20,73.2,66.1,78.5,71.0,50.4,81.4,0.0,0,0,32,36,9.4,3,5
Dre Greenlaw,51503,LB,SF,1,1,5.0,0,0,28,60.4,35.4,74.0,,28.5,54.1,0.0,0,0,21,21,0.0,0,1
Khyiris Tonga,52000,DI,KC,1,1,4.0,0,0,16,59.5,51.4,76.5,53.5,54.2,68.7,0.0,0,0,8,10,0.0,0,1
Paulson Adebo,52280,CB,NYG,1,0,,0,0,21,45.4,46.1,71.8,,60.0,75.2,,0,0,1,1,0.0,0,0
Ivan Pace Jr.,53587,LB,MIN,1,0,-2.0,0,0,18,63.5,68.7,69.1,,65.4,71.7,0.0,0,0,4,4,25.0,1,1
Carrington Valentine,53750,CB,GB,1,0,,0,0,12,39.9,44.8,71.4,,62.9,,,0,0,10,10,0.0,0,0
Malcolm Koonce,55015,ED,LV,1,0,,0,0,23,63.4,54.6,77.7,68.0,34.1,70.5,,0,0,4,4,0.0,0,0
Boye Mafe,55220,ED,CIN,1,0,,0,0,7,62.9,86.5,76.8,70.0,87.0,36.0,,0,0,8,9,0.0,0,0
Elijah Hicks,55584,S,CHI,1,0,,0,0,6,64.2,65.0,72.4,,60.0,,,0,0,1,3,0.0,0,0
A.J. Terrell,55586,CB,ATL,1,0,,0,0,2,46.3,48.8,77.6,,63.9,78.0,,0,2,21,21,0.0,0,0
Amik Robertson,55619,CB,WAS,1,0,,0,0,32,77.2,76.7,78.3,,63.6,61.4,,0,0,19,20,0.0,0,0
Deommodore Lenoir,55686,CB,SF,1,1,5.0,0,0,28,55.2,54.0,75.7,60.0,52.6,80.6,0.0,0,1,28,28,0.0,0,1
Marcus Jones,55717,CB,NE,1,1,4.0,0,0,19,60.5,67.5,73.4,57.2,76.9,79.5,0.0,0,0,8,8,12.5,1,1
Xavier McKinney,55775,S,GB,1,0,2.0,0,0,12,36.9,41.3,77.4,,70.8,78.1,0.0,0,1,31,31,3.2,1,1
Montaric Brown,55797,CB,JAX,1,1,0.5,0,0,15,54.8,63.7,75.1,,80.1,78.3,0.0,0,0,16,16,12.5,2,2
Kamren Curl,55800,S,LA,1,1,,0,0,26,68.0,70.8,74.7,,62.7,78.9,0.0,0,0,11,11,0.0,0,0
Eric Stokes,55912,CB,LV,1,0,,0,0,23,38.7,41.8,77.0,,64.0,75.1,,0,0,13,15,0.0,0,0
Bryan Cook,55940,S,CIN,1,0,8.5,0,0,7,67.0,66.1,79.1,,53.6,61.2,0.0,0,0,16,18,0.0,0,2
Tony Adams,55953,S,TEN,1,0,3.0,0,0,31,64.4,67.9,66.2,,60.0,78.4,0.0,0,0,2,2,50.0,1,1
Benjamin St-Juste,56061,CB,GB,1,0,,0,0,12,,60.0,61.7,,60.0,,,0,0,1,1,0.0,0,0
Reed Blankenship,56065,S,HST,1,0,4.0,0,0,13,40.4,41.1,76.7,,65.0,83.1,0.0,0,0,18,18,5.6,1,1
DaRon Bland,56158,CB,DAL,1,2,3.0,0,0,9,58.5,60.1,77.1,,62.8,81.1,0.0,0,0,34,35,5.9,2,2
Keisean Nixon,56167,CB,GB,1,0,-1.0,0,0,12,68.3,78.4,77.0,85.7,83.4,79.0,0.0,0,0,31,31,3.2,1,1
Christian Braswell,56207,CB,JAX,1,0,,0,0,15,63.5,64.3,70.5,,60.0,,,0,0,3,3,0.0,0,0
Quentin Lake,56245,S,LA,1,0,14.0,0,0,26,89.8,78.8,72.4,58.7,47.6,67.6,25.0,1,0,28,28,0.0,0,3
Jaylon Johnson,56259,CB,CHI,1,1,,0,0,6,41.5,44.8,77.8,60.0,66.7,36.7,0.0,0,0,19,20,0.0,0,0
Elijah Molden,56290,S,LAC,1,1,3.0,0,0,27,66.8,71.5,78.3,,67.3,84.4,0.0,0,0,19,19,5.3,1,1
A.J. Epenesa,56369,ED,PHI,1,0,,0,0,24,63.9,60.1,73.3,53.5,60.4,70.5,,0,0,5,5,0.0,0,0
Chase Young,56436,ED,NO,1,0,,0,0,20,62.1,57.2,4.4,77.0,44.8,72.8,,0,1,23,27,0.0,0,0
Patrick Johnson,56460,ED,LV,1,0,,0,0,23,,59.9,73.0,55.4,61.6,,,0,0,1,3,0.0,0,0
T.J. Slaton,56597,DI,CIN,1,0,0.0,0,0,7,61.1,50.6,0.0,52.6,59.9,66.8,0.0,0,1,6,7,16.7,1,1
Malik Herring,56616,ED,MIA,1,0,-3.0,0,0,17,,41.8,77.1,49.8,45.9,23.8,50.0,1,0,15,15,6.7,1,1
Milton Williams,56682,DI,NE,1,1,1.0,0,0,19,,49.8,0.0,54.2,62.6,69.6,0.0,0,1,12,13,16.7,2,2
Jonathan Ford,56705,DI,GB,1,0,3.7,0,0,12,,54.6,0.0,67.5,60.4,71.3,0.0,0,1,19,19,5.3,1,3
Kwity Paye,56713,ED,LV,1,0,-0.5,0,0,23,60.5,77.6,77.8,69.3,72.3,73.1,0.0,0,0,6,6,33.3,2,2
Jordan Elliott,56734,DI,TEN,1,1,,0,0,31,,34.7,74.4,62.4,33.4,66.8,0.0,0,0,11,12,0.0,0,0
Javon Kinlaw,56834,DI,WAS,1,0,0.0,0,0,32,,62.0,76.7,51.5,67.2,28.6,0.0,0,0,15,16,13.3,2,2
Arnold Ebiketie,56862,ED,PHI,1,0,0.0,0,0,24,41.2,43.3,76.5,49.1,61.2,25.2,0.0,0,0,11,11,9.1,1,1
Micheal Clemons,56872,ED,IND,1,1,,0,0,14,,64.2,74.3,61.6,62.0,67.3,0.0,0,0,6,6,0.0,0,0
Jaelan Phillips,56902,ED,CAR,1,1,2.5,0,0,5,64.6,69.6,79.1,68.3,61.3,74.2,0.0,0,0,22,25,9.1,2,2
Dayo Odeyingbo,56923,ED,CHI,1,0,6.0,0,0,6,,47.4,0.0,62.9,58.2,69.2,0.0,0,2,11,13,0.0,0,1
James Lynch,56962,DI,CHI,1,0,0.0,0,0,6,60.0,36.6,0.0,50.8,48.9,71.4,0.0,0,1,6,7,16.7,1,1
Cory Durden,56976,DI,NE,1,0,9.0,0,0,19,62.2,41.3,77.0,60.3,31.6,69.0,0.0,0,0,13,14,0.0,0,1
Brandon Pili,57036,DI,SEA,1,0,,0,0,29,,30.1,70.6,,38.9,,,0,0,6,6,0.0,0,0
Jack Gibbens,57662,LB,ARZ,1,0,7.3,0,0,1,58.5,61.7,74.1,73.4,59.6,61.7,25.0,1,0,16,16,6.3,1,3
D'Marco Jackson,57691,LB,CHI,1,0,4.0,0,0,6,63.8,41.5,73.0,54.6,39.8,73.5,0.0,0,0,9,11,22.2,2,2
Jalen Pitre,57737,S,HST,1,1,3.0,0,0,13,82.3,76.0,74.8,58.8,53.8,78.4,0.0,0,0,20,20,10.0,2,2
Terrel Bernard,57739,LB,BUF,1,1,3.4,0,0,4,58.3,72.6,74.5,52.8,84.7,83.9,0.0,0,0,31,31,16.1,5,9
Nate Landman,57788,LB,LA,1,0,3.2,0,0,26,58.3,47.3,74.6,60.0,37.3,54.6,0.0,0,0,28,28,7.1,2,5
Ventrell Miller,57809,LB,JAX,1,1,2.8,0,0,15,92.1,92.4,74.2,79.7,62.7,59.2,0.0,0,0,15,15,13.3,2,4
James Houston,57810,ED,DAL,1,1,,0,0,9,,37.9,71.9,58.3,44.5,70.5,0.0,0,0,8,8,0.0,0,0
Robert Beal Jr.,57840,ED,MIA,1,0,7.0,0,0,17,,66.9,75.4,56.3,66.7,67.3,0.0,0,0,11,11,0.0,0,1
Del'Shawn Phillips,57868,LB,LAC,1,2,4.0,0,0,27,51.0,70.0,74.4,65.1,78.3,52.0,16.7,1,0,22,22,9.1,2,3
Patrick Queen,57941,LB,PIT,1,3,4.3,0,0,25,37.0,46.7,76.4,,64.6,32.3,12.5,1,0,31,32,6.5,2,4
K'Lavon Chaisson,57945,ED,WAS,1,0,,0,0,32,36.5,37.3,78.3,52.2,51.6,21.7,,0,0,13,14,0.0,0,0
Willie Gay,57987,LB,MIA,1,1,,0,0,17,56.6,53.4,75.4,58.8,53.4,74.1,0.0,0,0,25,25,0.0,0,0
Pete Werner,58093,LB,NO,1,4,-3.0,0,0,20,73.1,71.2,73.7,,60.6,82.5,0.0,0,0,16,17,6.3,1,1
Baron Browning,58095,ED,ARZ,1,0,,0,0,1,65.6,63.3,76.6,58.9,59.0,,,0,0,7,7,0.0,0,0
Derrick Barnes,58120,LB,DET,1,1,0.0,0,0,11,84.9,73.4,79.4,65.1,42.5,53.2,33.3,1,0,20,20,5.0,1,1
Devin Lloyd,58238,LB,CAR,1,2,4.8,0,0,5,36.7,31.9,77.7,60.4,42.1,45.3,12.5,1,0,32,35,6.3,2,5
Michael Carter II,60644,CB,PHI,1,0,,0,0,24,61.8,63.1,69.8,,60.0,,,0,0,1,1,0.0,0,0
James Pierre,60649,CB,MIN,1,0,,0,0,18,77.1,78.3,74.0,,60.0,79.0,,0,0,1,1,0.0,0,0
Grant Delpit,60685,S,CLV,1,0,4.5,0,0,8,62.1,54.3,75.1,,44.3,42.3,0.0,0,0,31,32,0.0,0,2
Malcolm Rodriguez,60731,LB,DET,1,1,1.5,0,0,11,78.0,83.1,71.8,54.3,73.9,56.3,0.0,0,0,8,8,25.0,2,2
Garret Wallow,60761,LB,SF,1,0,1.0,1,0,28,31.0,46.1,69.0,,75.1,26.0,0.0,0,1,6,6,16.7,1,1
Keion White,60998,ED,SF,1,1,,0,0,28,60.0,69.4,78.7,61.1,58.8,67.3,0.0,0,0,15,15,0.0,0,0
Daiyan Henley,61500,LB,LAC,1,2,6.5,0,0,27,60.3,60.5,75.7,61.3,59.2,65.1,14.3,1,0,26,26,11.5,3,4
Tariq Woolen,61790,CB,PHI,1,0,,0,0,24,66.9,67.9,77.1,,66.5,,,0,0,29,29,0.0,0,0
Christian Elliss,61853,LB,NE,1,1,2.0,0,0,19,28.1,31.0,75.3,51.4,69.7,34.2,33.3,1,0,20,21,5.0,1,1
Theo Jackson,62919,S,MIN,1,0,13.0,0,0,18,34.9,36.6,75.1,,66.1,79.4,0.0,0,0,17,18,0.0,0,2
Jack Cochrane,63345,LB,KC,1,0,,0,0,16,60.0,71.2,69.1,,55.4,,,0,0,4,4,0.0,0,0
Winston Reid,63354,LB,CLV,1,0,,0,0,8,,61.0,64.1,,60.0,,,0,0,1,1,0.0,0,0
Ty Hamilton,66298,DI,LA,1,1,,0,0,26,,48.4,73.8,55.6,51.8,67.3,0.0,0,0,7,7,0.0,0,0
Zyon McCollum,66769,CB,TB,1,0,2.0,0,0,30,58.5,60.1,77.2,,64.7,82.1,0.0,0,0,25,25,4.0,1,2
Kobie Turner,66894,DI,LA,1,1,2.4,0,0,26,60.0,75.3,76.9,56.2,80.1,71.7,0.0,0,0,15,15,33.3,5,5
Zach Sieler,66917,DI,MIA,1,0,0.0,0,0,17,,41.1,77.2,65.0,35.1,70.1,0.0,0,0,26,26,7.7,2,3
Dennis Gardeck,66928,LB,JAX,1,0,5.0,0,0,15,30.1,36.4,75.6,49.1,61.7,27.8,0.0,0,0,7,7,0.0,0,1
Easton Mascarenas-Arnold,71410,LB,CLV,1,0,3.0,0,0,8,29.5,30.3,68.8,57.8,55.7,71.7,0.0,0,0,14,14,7.1,1,1
Trent McDuffie,72191,CB,LA,1,1,,0,0,26,85.4,83.4,77.1,60.0,67.3,78.8,0.0,0,0,28,28,0.0,0,0
Evan Williams,73864,S,GB,1,1,12.0,0,0,12,71.9,73.6,0.0,,73.3,85.4,0.0,0,1,31,31,3.2,1,4
Jowon Briggs,74867,DI,NYJ,1,0,,0,0,22,,63.6,72.6,66.2,58.9,,,0,0,2,2,0.0,0,0
Jonah Laulu,75763,DI,LV,1,0,,0,0,23,,42.9,74.2,55.4,44.9,,,0,0,4,4,0.0,0,0
Asante Samuel Jr.,76625,CB,PIT,1,0,,0,0,25,56.5,48.2,0.0,,46.0,24.3,100.0,1,1,31,32,0.0,0,0
Andre Cisco,76641,S,NYJ,1,0,13.0,0,0,22,52.7,52.6,81.4,58.3,61.7,67.9,0.0,0,0,8,8,0.0,0,1
DJ Ivey,76670,CB,CIN,1,0,,0,0,7,63.3,64.1,69.8,,60.0,,,0,0,2,2,0.0,0,0
DeMarvion Overshown,76729,LB,DAL,1,3,8.7,0,0,9,28.2,29.4,0.0,64.0,63.5,37.1,14.3,1,1,24,25,4.2,1,3
Tyler Lacy,76836,ED,DET,1,0,3.0,0,0,11,,65.4,74.4,62.9,61.7,69.6,0.0,0,0,4,4,0.0,0,1
Will McDonald IV,76842,ED,NYJ,1,0,,0,0,22,60.3,80.7,78.0,80.8,59.5,69.2,,0,0,5,5,0.0,0,0
