player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Matthew Stafford,4924,QB,LA,1,2,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,26,0,0,77.7,41.5,78.1,42.3,,,60.0,60.0,0,0,0,0,0,22,0,0,0,2,0,-1,0,0.0,-0.5,,0
Jared Goff,10635,QB,DET,1,2,0,0,0.0,0,0,0,0,0,0,10,0.0,0,0,11,1,0,79.2,65.9,79.7,66.1,,,55.5,60.0,2,1,0,0,0,36,2,1,0,1,0,2,10,5.0,1.0,,0
Dak Prescott,10769,QB,DAL,1,2,1,0,0.0,0,0,0,0,0,0,,100.0,1,1,9,0,0,79.2,79.7,78.6,77.6,,,64.1,60.0,10,1,0,0,0,17,14,2,0,0,0,14,11,5.5,7.0,,0
Kyler Murray,38334,QB,MIN,1,2,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,18,0,0,69.6,35.2,73.2,39.6,,,51.1,60.0,7,0,0,0,0,4,9,2,0,0,0,9,0,0.0,4.5,,0
Drew Lock,39517,QB,SEA,1,2,0,0,0.0,0,0,-1,0,0,0,0,0.0,1,0,29,0,0,76.6,84.1,0.0,82.5,,,68.3,60.0,14,1,0,0,0,20,14,1,0,1,0,13,1,0.5,6.5,,0
Trevor Lawrence,77632,QB,JAX,1,2,0,0,0.0,0,0,1,0,0,0,0,0.0,0,1,15,0,0,76.6,86.0,0.0,87.1,,,62.6,60.3,2,1,0,0,0,25,2,1,0,1,0,3,0,0.0,1.5,,0
Emari Demercado,77763,HB,DAL,1,2,0,0,0.0,0,0,7,0,0,0,4,0.0,0,0,9,0,1,65.2,51.4,67.9,,,56.9,53.6,,4,0,0,0,2,2,0,0,0,2,0,7,4,2.0,3.5,0.0,1
Tyrone Tracy,84226,HB,NYG,1,2,1,0,0.0,0,0,14,0,0,1,3,75.0,0,1,21,1,1,13.4,39.0,66.4,,,,44.7,,8,0,0,0,0,2,0,0,0,2,0,14,3,1.5,7.0,,1
Bryce Young,123943,QB,CAR,1,2,0,0,0.0,0,0,0,0,0,0,,100.0,0,1,5,0,0,79.6,80.7,78.8,78.0,,,66.4,60.0,7,0,0,0,0,17,10,2,0,0,1,10,1,0.5,5.0,,0
C.J. Stroud,129759,QB,HST,1,2,0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,13,2,0,22.7,67.6,79.7,65.6,,,65.1,60.0,15,0,0,0,0,31,15,1,0,1,0,15,2,1.0,7.5,,0
Will Shipley,144138,HB,PHI,1,2,0,0,0.0,0,0,4,0,0,0,2,0.0,0,0,24,0,0,68.6,61.3,73.3,,73.1,70.4,57.4,,2,0,8,1,7,2,0,0,1,3,0,4,2,1.0,2.0,1.14,2
CJ Donaldson,157372,HB,NO,1,2,0,0,0.0,0,0,4,0,0,0,3,0.0,0,2,20,0,0,66.7,66.4,76.1,,36.4,59.9,69.6,60.0,3,0,-2,1,7,3,0,0,1,3,0,4,3,1.5,2.0,-0.29,0
Sione Vaki,158505,HB,DET,1,2,0,0,0.0,0,0,7,0,1,0,2,33.3,0,0,11,0,1,66.7,56.8,73.9,,60.3,63.0,53.6,,4,0,11,1,17,2,0,0,1,3,0,7,2,1.0,3.5,0.65,1
Tez Johnson,123709,WR,TB,1,1,0,0,0.0,0,0,-4,1,0,0,5,0.0,0,0,30,0,0,66.2,41.1,73.0,,,42.5,59.2,58.5,-4,0,0,0,6,6,0,0,1,1,0,-4,5,5.0,-4.0,0.0,0
Frank Gore Jr.,121457,HB,BUF,1,1,0,0,0.0,0,0,3,0,0,0,3,0.0,0,0,4,0,1,61.9,59.5,73.4,,83.4,55.1,59.1,60.0,3,0,0,0,4,2,0,0,0,1,0,3,3,3.0,3.0,0.0,0
Ray Davis,101072,HB,BUF,1,1,0,0,0.0,0,0,3,0,0,0,2,0.0,0,0,4,0,1,68.2,56.3,69.2,,,57.3,59.3,60.0,3,0,0,0,3,2,0,0,0,1,0,3,2,2.0,3.0,0.0,0
Hunter Luepke,91319,FB,DAL,1,1,0,0,0.0,0,0,7,0,0,0,4,0.0,0,1,9,0,0,61.9,53.4,74.9,,84.0,55.8,56.2,57.0,7,0,0,0,6,3,0,0,0,1,0,7,4,4.0,7.0,0.0,1
