player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Jalen Redmond,76861,DI,MIN,1,0,,,2.9,,,0,0,0,,18,59.5,71.2,78.5,53.5,81.4,70.4,0,,0.0,0,0,0,0.0,0,1,35,0,1,0,0,0,0,0.0,
Greg Rousseau,76889,ED,BUF,1,0,7.0,0.0,4.9,,2.0,0,0,1,100.0,4,77.2,84.5,79.1,78.6,58.7,74.2,0,,,0,1,0,39.6,0,2,41,2,0,1,0,0,0,0.0,
Alim McNeill,76996,DI,DET,1,0,,,1.6,,,0,0,0,,11,59.5,62.3,79.7,59.4,64.0,26.3,0,,,0,0,0,0.0,0,1,61,1,0,0,0,0,0,0.0,
Payton Wilson,77127,LB,PIT,1,0,-2.0,100.0,100.0,5.2,5.2,0,0,0,0.0,25,30.8,58.4,72.9,,85.9,35.6,0,24,60.0,3,0,0,110.8,5,28,28,2,2,5,0,53,63,2.0,10.6
Zaven Collins,77190,ED,ARZ,1,0,5.0,100.0,21.1,3.0,3.0,0,0,0,0.0,1,64.1,65.2,75.7,63.8,59.1,73.9,0,8,0.0,0,0,0,100.0,1,4,19,0,1,1,0,8,3,2.7,8.0
Nik Bonitto,77196,ED,DEN,1,0,3.0,0.0,5.0,,1.0,0,0,0,0.0,10,60.0,59.1,75.7,54.8,62.1,72.8,0,,,0,0,0,39.6,0,1,20,0,0,1,0,0,0,0.0,
Tre'von Moehrig,77847,S,CAR,1,1,-4.0,100.0,97.5,37.0,37.0,0,0,0,0.0,5,62.7,58.1,76.2,67.6,45.7,42.2,0,7,0.0,0,0,0,95.8,1,39,40,0,0,1,0,7,11,0.2,7.0
Ar'Darius Washington,77848,S,NYG,1,0,,,100.0,,,0,0,0,,21,60.0,60.0,62.6,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Cobie Durant,79126,CB,DAL,1,0,21.7,33.3,100.0,26.0,8.7,0,1,0,0.0,9,73.4,70.6,76.9,,58.0,45.2,0,18,,0,0,0,54.9,1,26,26,0,0,3,0,18,0,0.7,18.0
Christian Benford,79181,CB,BUF,1,1,12.6,66.7,100.0,5.3,3.5,0,0,1,8.3,4,33.1,32.5,78.4,,40.8,42.2,0,25,20.0,1,0,1,126.7,8,48,48,2,3,12,2,85,13,2.0,10.6
Nick Bolton,81322,LB,KC,1,0,,,71.4,,,0,0,0,,16,59.2,76.4,77.7,87.1,68.2,62.0,0,,,0,0,0,0.0,0,25,35,0,0,0,0,0,0,0.0,
Ernest Jones,81399,LB,SEA,1,0,4.3,100.0,90.9,9.5,9.5,0,0,0,0.0,29,50.8,45.1,76.5,51.5,49.4,83.4,0,17,0.0,0,0,0,111.5,4,40,44,3,8,4,0,43,26,1.1,10.8
Brenton Cox Jr.,81957,ED,GB,1,0,-1.0,100.0,33.3,6.0,6.0,0,0,0,0.0,12,52.0,56.9,0.0,67.7,68.1,74.2,0,5,0.0,0,0,1,87.5,1,6,18,1,2,1,0,5,6,0.8,5.0
Odafe Oweh,82161,ED,WAS,1,0,,,10.0,,,0,0,0,,32,62.5,53.7,77.5,55.2,52.6,73.6,0,,,0,0,0,0.0,0,3,30,1,0,0,0,0,0,0.0,
Aidan Hutchinson,82330,ED,DET,1,0,5.0,100.0,5.4,3.0,3.0,0,0,0,0.0,11,63.6,90.2,82.2,87.4,72.5,75.1,0,6,0.0,0,0,0,91.7,1,3,56,3,1,1,0,6,1,2.0,6.0
Cameron Thomas,82387,ED,ATL,1,0,,,5.3,,,0,0,0,,2,88.5,72.1,76.5,60.5,55.5,35.4,0,,0.0,0,0,0,0.0,0,1,19,1,1,0,0,0,0,0.0,
Kingsley Enagbare,82409,ED,NYJ,1,0,8.0,100.0,21.4,6.0,6.0,0,0,0,0.0,22,48.5,61.8,78.1,70.5,56.0,34.9,0,9,100.0,1,0,0,104.2,1,6,28,1,0,1,0,9,1,1.5,9.0
Bobby Brown III,82429,DI,CAR,1,0,,,9.5,,,0,0,0,,5,81.2,89.5,77.1,67.6,55.0,69.2,0,,,0,0,0,0.0,0,2,21,0,0,0,0,0,0,0.0,
Quay Walker,82547,LB,LV,1,0,0.5,75.0,82.5,10.0,7.5,0,0,0,0.0,23,50.0,59.3,76.7,58.7,73.2,53.3,0,7,20.0,1,0,1,81.3,3,33,40,2,4,4,0,16,20,0.5,5.3
Pat Surtain II,83119,CB,DEN,1,0,0.0,100.0,100.0,33.0,33.0,0,0,0,0.0,10,72.1,65.4,76.4,,46.4,52.0,0,6,0.0,0,0,0,91.7,1,34,34,0,1,1,0,6,6,0.2,6.0
Josh Jobe,83122,CB,SEA,1,0,8.0,75.0,100.0,13.7,10.3,0,0,0,0.0,29,82.8,77.0,77.7,,44.6,53.6,1,12,0.0,0,0,1,40.6,3,43,43,2,6,4,0,15,4,0.4,5.0
Jamien Sherwood,83175,LB,NYJ,1,1,2.5,100.0,68.6,12.0,12.0,0,0,0,0.0,22,69.7,58.4,73.0,49.0,50.9,50.7,0,7,33.3,1,0,0,91.7,2,24,35,0,1,2,0,12,7,0.5,6.0
Roger McCreary,83176,CB,DET,1,0,6.3,100.0,75.0,6.7,6.7,0,0,0,0.0,11,59.1,70.0,75.3,78.7,72.4,56.7,0,20,33.3,1,0,0,112.5,3,21,28,2,2,3,0,33,14,1.7,11.0
Tyson Campbell,83217,CB,CLV,1,0,14.3,100.0,100.0,8.3,8.3,0,0,0,0.0,8,54.0,52.0,76.1,,50.1,40.9,0,18,0.0,0,0,0,118.8,3,25,25,0,5,3,0,43,0,1.7,14.3
Quan Martin,83236,S,WAS,1,0,-5.0,100.0,100.0,13.0,13.0,0,0,0,0.0,32,50.0,39.9,74.3,,54.8,30.0,0,-3,0.0,0,0,0,79.2,1,13,13,2,2,1,0,-3,2,-0.2,-3.0
Sydney Brown,83241,S,ATL,1,0,-2.3,100.0,89.5,5.7,5.7,0,0,0,0.0,2,67.8,72.7,82.3,57.6,74.3,80.2,0,9,0.0,0,0,0,83.3,3,17,19,1,3,3,0,12,19,0.7,4.0
JuJu Brents,83256,CB,MIA,1,0,4.0,100.0,100.0,6.5,6.5,0,0,0,0.0,17,51.3,38.9,0.0,,43.7,78.0,0,6,0.0,0,0,2,89.6,2,14,14,2,2,2,0,11,3,0.8,5.5
Riley Moss,83259,CB,DEN,1,0,9.6,60.0,100.0,11.0,6.6,0,0,1,20.0,10,59.9,58.3,76.4,,53.9,26.3,0,13,50.0,2,0,0,115.0,3,34,34,1,2,5,1,28,17,0.8,9.3
Greg Newsome II,83341,CB,NYG,1,0,21.3,33.3,100.0,30.0,10.0,0,0,0,0.0,21,40.4,38.2,77.5,,38.8,29.5,0,8,33.3,1,0,1,42.4,1,35,35,2,2,3,0,8,1,0.3,8.0
Jaycee Horn,83375,CB,CAR,1,0,17.0,100.0,100.0,19.0,19.0,0,0,0,0.0,5,58.4,57.9,77.3,,55.7,76.9,0,28,0.0,0,0,0,118.8,2,40,40,0,2,2,0,41,7,1.1,20.5
Alontae Taylor,83469,CB,TEN,1,0,10.5,50.0,96.4,25.0,12.5,0,0,0,0.0,31,37.4,45.2,76.5,58.6,66.1,54.1,0,9,0.0,0,0,1,62.5,1,27,28,0,3,2,0,9,3,0.4,9.0
Jevon Holland,83873,S,NYG,1,0,8.5,50.0,97.6,36.0,18.0,0,0,0,0.0,21,73.2,70.1,0.0,60.0,59.7,42.8,1,9,50.0,1,0,1,22.9,1,40,41,0,1,2,0,9,12,0.3,9.0
Talanoa Hufanga,83903,S,DEN,1,0,31.0,0.0,94.1,,31.0,0,0,0,0.0,10,61.1,57.3,75.5,57.3,53.4,61.3,0,,33.3,1,0,0,39.6,0,32,34,1,2,1,0,0,0,0.0,
Patrick O'Connell,89300,LB,SEA,1,0,8.0,100.0,100.0,1.0,1.0,0,0,0,0.0,29,60.0,27.7,65.0,,,,0,2,,0,0,0,118.8,1,1,1,0,0,1,1,2,0,2.0,2.0
Mike Sainristil,97180,CB,WAS,1,0,25.7,66.7,97.1,16.5,11.0,0,0,0,0.0,32,29.3,30.0,76.5,58.8,55.8,44.7,0,64,50.0,1,0,0,149.3,2,34,35,0,1,3,1,73,21,2.2,36.5
Marcus Harris,97230,CB,TEN,1,0,5.7,100.0,90.0,5.7,5.7,0,0,0,0.0,31,66.1,61.7,74.8,53.3,55.7,60.7,0,7,0.0,0,0,0,90.3,3,18,20,3,4,3,0,17,0,1.0,5.7
Dell Pettus,97290,S,NE,1,1,2.7,100.0,100.0,3.0,3.0,0,0,0,0.0,19,43.1,38.8,68.6,,47.6,34.5,0,11,25.0,1,0,0,102.8,3,9,9,0,2,3,0,26,18,2.9,8.7
Thomas Harper,97325,S,DET,1,0,14.5,50.0,91.1,38.0,19.0,0,0,1,50.0,11,64.1,64.6,75.3,51.2,62.0,61.8,0,27,25.0,1,1,0,95.8,1,41,45,0,3,2,0,27,2,0.7,27.0
Christian Roland-Wallace,97374,S,KC,1,0,,,87.5,,,0,0,0,,16,64.6,64.6,71.5,60.0,,71.4,0,,0.0,0,0,0,0.0,0,7,8,1,1,0,0,0,0,0.0,
Jarrian Jones,97486,CB,JAX,1,0,20.3,33.3,96.2,23.0,7.7,0,0,0,0.0,15,62.0,58.9,76.3,60.0,52.5,26.5,0,5,100.0,1,0,0,42.4,1,25,26,0,0,3,0,5,7,0.2,5.0
Nick Cross,97514,S,WAS,1,0,-0.7,100.0,94.3,10.7,10.7,0,0,0,0.0,32,47.1,48.4,76.7,51.4,65.6,70.7,0,12,0.0,0,0,0,79.2,3,33,35,3,3,3,0,4,6,0.1,1.3
Dax Hill,97519,CB,CIN,1,0,8.5,75.0,100.0,12.0,9.0,0,0,0,0.0,7,58.4,66.0,76.7,,84.4,80.8,0,16,0.0,0,0,0,94.8,3,39,39,0,4,4,0,29,11,0.8,9.7
