player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Carnell Tate,170273,WR,TEN,1,10.0,0,66.7,,0,0,0,0.0,0,-0.18,1,31,0,72.1,67.0,61.5,,61.0,0.0,0,0,14,0.0,0,37,0,50.0,4,97.3,36,32.4,12,84.0,6,0,67.6,25,38,9,2.3,9.5,1.06
Mark Andrews,47436,TE,BLT,1,6.7,0,66.7,,0,0,0,20.0,1,0.62,2,3,0,45.8,68.0,69.0,73.1,66.7,32.1,9,0,17,7.1,2,28,1,68.0,4,82.1,23,50.0,14,91.7,6,0,17.9,5,49,15,3.8,12.3,2.13
Emeka Egbuka,145055,WR,TB,1,14.0,0,83.3,0.0,0,1,0,0.0,0,-0.16,3,30,0,73.4,68.0,73.3,71.9,73.3,2.9,1,0,17,5.7,2,35,0,52.9,5,91.4,32,22.9,8,110.4,6,0,68.6,24,63,21,4.2,12.6,1.97
Pat Bryant,144800,WR,DEN,1,4.0,0,66.7,100.0,1,1,0,20.0,1,-0.22,3,10,0,41.6,67.0,62.2,,72.5,0.0,0,0,13,0.0,0,22,2,47.6,4,95.5,21,45.5,10,86.8,6,0,54.5,12,42,20,5.0,10.5,2.0
Xavier Worthy,144718,WR,KC,1,7.8,0,50.0,0.0,0,1,0,0.0,0,-0.04,1,16,0,70.5,65.8,57.3,,57.0,3.2,1,1,9,0.0,0,31,0,46.7,3,96.8,30,19.4,6,16.7,6,0,77.4,24,18,15,5.0,6.0,0.6
Parker Washington,129799,WR,JAX,1,17.0,0,83.3,,0,0,0,0.0,0,0.79,4,15,0,73.4,72.3,90.9,,90.5,0.0,0,0,30,0.0,0,18,0,66.7,5,100.0,18,50.0,9,158.3,6,1,44.4,8,83,3,0.6,16.6,4.61
Roman Wilson,129604,WR,PIT,1,20.3,0,50.0,0.0,0,1,0,0.0,0,-0.5,1,25,0,70.5,65.8,54.6,,54.6,0.0,0,0,20,0.0,0,29,0,22.2,3,93.1,27,65.5,19,61.8,6,0,34.5,10,26,6,2.0,8.7,0.96
Tee Higgins,61211,WR,CIN,1,25.2,1,50.0,50.0,1,2,0,0.0,0,-0.01,3,7,0,70.5,65.8,76.8,,73.9,0.0,0,0,29,0.0,0,31,0,51.6,3,100.0,31,9.7,3,84.7,6,0,90.3,28,59,26,8.7,19.7,1.9
Tre Harris,122676,WR,LAC,1,8.0,0,50.0,33.3,1,3,0,0.0,0,-0.39,0,27,0,70.5,65.8,58.3,,58.6,0.0,0,0,11,0.0,0,31,0,44.4,3,87.1,27,41.9,13,57.6,6,0,58.1,18,20,8,2.7,6.7,0.74
Xavier Hutchinson,122518,WR,HST,1,8.8,1,50.0,0.0,0,1,0,0.0,0,0.06,1,13,0,70.5,65.8,64.3,,62.3,0.0,0,0,20,0.0,0,31,0,37.9,3,93.5,29,61.3,19,66.0,6,0,38.7,12,32,22,7.3,10.7,1.1
