year,week,team,player,status,plays_probability,workload_if_active,note
2026,1,JAC,Travis Hunter (CB),out,,,injury
2026,1,SF,Mikail Kamara,out,,,
2026,1,FA,Trinidad Chambliss,out,,,other
2026,1,DAL,Devin Moore,out,,,injured
2026,1,WAS,Malik Spencer,out,,,
2026,1,MIN,Tyreek Chappell,out,,,
2026,1,ARI,Kaleb Proctor,out,,,
2026,1,JAC,Parker Hughes,out,,,
2026,1,JAC,Zach Durfee,out,,,injured
2026,1,NO,Michael Heldman,out,,,
2026,1,MIA,Rene Konga,out,,,
2026,1,LAR,Eddie Walls III,out,,,
2026,1,PHI,Tucker Large,out,,,
2026,1,BAL,Jahquez Robinson,out,,,
2026,1,LV,Corey Rucker,out,,,
2026,1,GB,Marlon Jones,out,,,
2026,1,LAR,Daniel Rickert,out,,,
