player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
K'Lavon Chaisson,57945,ED,LV,15,40,0,23,0,,,10.0,,,0,0,,62.4,1,,,0,0,0.0,0,10,25.0,100,3,0,0,0,0,0,0.0,,0,0,6.3,100.0,11.7,5.8,5.8,1,0,0.0,42.3,0,47,22.2,2,0,118.8,4,25,62.5,214,7,7,4,0,73,48,3.2,18.3
J.J. Russell,57958,LB,TB,13,172,0,30,0,0.0,100.0,83.3,11.5,11.5,0,0,0.0,76.9,0,3,0.0,0,0,79.2,2,25,14.5,30,2,2,2,0,5,5,0.2,2.5,0,3,7.9,76.9,88.5,12.6,9.7,1,1,7.7,62.1,0,46,6.7,1,1,134.8,10,131,76.2,148,2,11,13,1,134,69,1.1,13.4
Willie Gay,57987,LB,NO,13,116,0,20,0,-0.3,66.7,65.9,11.5,7.7,0,0,0.0,42.9,0,8,0.0,0,0,70.1,2,29,25.0,44,2,2,3,0,1,4,0.0,0.5,0,2,1.4,71.4,90.1,7.0,5.0,0,1,7.1,45.8,0,21,22.2,2,1,93.5,10,73,62.9,81,3,5,14,0,107,107,1.5,10.7
Jeremiah Owusu-Koramoah,58089,LB,CLV,8,208,0,8,0,7.0,50.0,67.9,68.0,34.0,0,0,0.0,72.2,0,5,25.0,1,0,56.3,1,72,34.6,106,3,3,2,0,5,3,0.1,5.0,0,0,3.4,88.2,85.6,7.4,6.5,0,1,5.9,35.9,0,28,36.8,7,1,111.3,15,119,57.2,139,3,12,17,0,182,123,1.6,12.1
Pete Werner,58093,LB,NO,13,380,0,20,1,4.6,50.0,77.9,23.8,11.9,1,0,0.0,64.8,0,13,22.2,2,0,59.4,4,102,26.8,131,2,6,8,0,30,31,0.3,7.5,0,4,2.8,90.6,96.0,7.9,7.2,0,1,3.1,66.2,0,16,2.8,1,0,88.8,29,242,63.7,252,18,31,32,0,170,104,0.7,5.9
Baron Browning,58095,ED,ARZ,13,38,0,1,0,-3.0,0.0,9.0,,7.0,0,0,0.0,63.9,0,,100.0,1,0,39.6,0,7,18.4,78,0,0,1,0,0,0,0.0,,0,2,4.8,87.5,21.0,3.7,3.3,0,0,0.0,43.7,0,23,0.0,0,0,106.8,7,29,76.3,138,4,4,8,0,77,45,3.0,11.0
Kenneth Murray Jr.,58099,LB,TEN,14,398,0,31,1,2.8,87.5,76.0,10.1,8.9,0,0,0.0,63.9,0,26,14.3,1,0,133.3,7,76,19.1,100,5,5,8,3,52,30,0.7,7.4,0,4,4.8,86.7,83.4,8.7,7.6,0,0,0.0,47.7,0,30,5.6,2,0,127.2,26,242,60.8,290,8,30,30,2,276,154,1.2,10.6
Derrick Barnes,58120,LB,DET,3,49,0,11,0,,,44.1,,,0,0,,66.4,0,,,0,0,0.0,0,15,30.6,34,0,0,0,0,0,0,0.0,,0,0,3.0,50.0,71.8,27.0,13.5,0,0,0.0,63.3,0,1,50.0,2,0,56.3,1,28,57.1,39,1,2,2,0,1,4,0.0,1.0
Vi Jones,58233,LB,ARZ,4,34,0,1,0,,,66.7,,,0,0,,39.5,0,,,0,0,0.0,0,2,5.9,3,0,0,0,0,0,0,0.0,,0,1,-6.0,100.0,96.4,25.0,25.0,0,0,0.0,79.7,0,4,0.0,0,0,83.3,1,27,79.4,28,1,2,1,0,4,10,0.2,4.0
Devin Lloyd,58238,LB,JAX,16,461,0,15,2,3.2,72.7,86.2,9.4,6.8,0,0,0.0,51.4,0,54,15.4,2,0,114.8,16,163,35.4,189,6,9,22,1,195,191,1.3,12.2,0,5,5.2,82.6,98.8,11.9,9.9,0,1,4.3,71.8,0,71,3.4,1,1,137.7,19,242,52.5,245,8,23,23,2,232,117,1.0,12.2
