player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Johnny Mundt,12206,TE,LA,5,1,0,26,0,,0,,,0,0,,0,-0.03,0,0,,46.0,0,0,0.0,0,4,75.0,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.05,0,0,64.7,49.9,0,0,0.0,0,6,50.0,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0
Keion Crossen,49454,CB,NYG,1,1,0,21,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Colin Thompson,12239,TE,CAR,9,1,0,5,0,,0,,,0,0,,0,0.25,0,0,,37.0,0,0,66.7,4,6,60.0,0,33.3,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.0,0,0,,48.8,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Christian Wilkins,50293,DI,MIA,2,1,0,17,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Amani Hooker,51378,S,TEN,1,1,0,31,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Dion Dawkins,11818,T,BUF,18,1,0,4,0,,0,,,0,0,,0,0.1,0,0,,,0,0,100.0,74,74,46.6,0,0.0,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Keke Coutee,47698,WR,IND,2,1,0,14,0,,0,,,0,0,,0,0.0,0,0,,53.3,0,0,0.0,0,1,,0,0.0,0,0.0,0,,0,0,0,,,,5.0,0,100.0,100.0,1,1,0.0,0,0.07,0,0,68.3,49.6,0,5,0.0,0,23,50.0,1,78.3,18,87.5,1,5.6,0,5,0,0.0,5.0,0.28
Nick Bawden,27413,FB,NYJ,7,1,0,22,0,,0,,,0,0,,0,0.4,0,0,,46.0,0,0,0.0,0,5,60.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,10.0,0,100.0,,0,0,0.0,0,0.62,1,0,68.3,71.3,0,20,25.0,1,4,75.0,1,75.0,3,118.8,1,33.3,0,20,10,10.0,20.0,6.67
Isaiah Coulter,55307,WR,CHI,1,1,0,6,0,,0,,,0,0,,0,1.1,0,0,,51.2,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.0,0,0,,51.6,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Marvin Hall,11440,WR,ATL,2,1,0,2,0,,0,,,0,0,,0,-1.01,0,0,,53.3,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,5.0,0,100.0,,0,0,0.0,0,0.4,1,0,68.3,77.8,0,10,0.0,0,4,75.0,1,100.0,4,108.3,1,25.0,0,10,5,5.0,10.0,2.5
