player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Chris Claybrooks,76692,CB,JAX,5,43,4.8,4.8,15,0,109.7,9,9,0,93,58,2.16
Darren Hall,60742,CB,ATL,9,124,4.6,3.5,2,0,107.0,27,35,1,261,90,2.1
Landon Collins,9466,S,WAS,13,92,4.6,4.2,32,0,102.3,20,22,0,188,120,2.04
Denzel Ward,49558,CB,CLV,5,9,4.5,4.5,8,0,95.8,2,2,0,14,0,1.56
Dee Delaney,31078,CB,TB,3,9,4.5,3.0,30,0,149.3,2,3,1,42,8,4.67
Jaylon Johnson,56259,CB,CHI,6,9,4.5,3.0,6,0,109.7,2,3,0,73,42,8.11
Tremaine Edmunds,50905,LB,BUF,11,27,4.5,4.5,4,0,140.3,6,6,1,49,36,1.81
Shaquil Barrett,9000,ED,TB,6,9,4.5,3.0,30,0,82.6,2,3,0,18,14,2.0
Dontae Johnson,8764,CB,SF,10,72,4.5,4.2,28,0,107.8,16,17,0,168,110,2.33
Josey Jewell,50720,LB,DEN,2,9,4.5,4.5,10,0,79.2,2,2,0,0,3,0.0
CJ Henderson,55593,CB,CAR,4,9,4.5,4.5,5,0,89.6,2,2,0,11,3,1.22
Daryl Worley,10711,CB,BLT,3,9,4.5,2.3,3,0,135.4,2,4,1,64,24,7.11
Krys Barnes,42548,LB,GB,13,35,4.4,3.9,12,0,90.7,8,9,0,52,24,1.49
Harold Landry III,48600,ED,TEN,10,22,4.4,4.4,31,0,118.8,5,5,1,12,11,0.55
Dre Greenlaw,51503,LB,SF,6,17,4.3,4.3,28,0,96.9,4,4,0,29,25,1.71
Nick Bolton,81322,LB,KC,11,17,4.3,4.3,16,0,115.6,4,4,0,47,24,2.76
Joe Bachie,43250,LB,CIN,5,13,4.3,3.3,7,0,127.1,3,4,1,22,5,1.69
Jamin Davis,57905,LB,WAS,14,41,4.1,4.1,32,0,92.5,10,10,0,62,41,1.51
Tremon Smith,28196,CB,HST,2,4,4.0,4.0,13,0,79.2,1,1,0,1,2,0.25
Reggie Ragland,10675,LB,NYG,10,20,4.0,3.3,21,0,107.6,5,6,0,59,34,2.95
Jordan Evans,11947,LB,CIN,3,4,4.0,4.0,7,0,118.8,1,1,0,34,19,8.5
Jordyn Brooks,50851,LB,SEA,16,93,4.0,3.3,29,0,142.6,23,28,4,244,135,2.62
Shaquille Quarterman,51048,LB,JAX,4,4,4.0,2.0,15,0,70.8,1,2,0,13,16,3.25
Steven Parker,51220,S,NYG,3,8,4.0,2.7,21,0,92.4,2,3,0,25,3,3.13
Malik Harrison,28081,LB,BLT,3,8,4.0,4.0,3,0,158.3,2,2,1,60,52,7.5
E.J. Speed,94351,LB,IND,8,24,4.0,4.0,14,0,138.9,6,6,1,47,34,1.96
A.J. Klein,7930,LB,BUF,5,8,4.0,4.0,4,0,110.4,2,2,0,21,2,2.63
K'Lavon Chaisson,57945,ED,JAX,7,8,4.0,4.0,15,0,147.9,2,2,1,20,6,2.5
Noah Igbinoghene,61155,CB,MIA,2,4,4.0,4.0,17,0,104.2,1,1,0,9,3,2.25
Azeez Ojulari,81959,ED,NYG,3,4,4.0,4.0,21,0,79.2,1,1,0,2,9,0.5
K'Von Wallace,42467,S,PHI,4,8,4.0,4.0,24,0,120.8,2,2,1,7,1,0.88
Von Miller,6154,ED,LA,8,12,4.0,4.0,26,0,86.1,3,3,0,14,7,1.17
Justin Strnad,42659,LB,DEN,6,15,3.8,3.8,10,0,94.8,4,4,0,27,8,1.8
