player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Casey Tucker,46376,T,PHI,1,0,24,16.5,1,1,4,100.0,100.0,75.0,0,2,0,5,5,26.4,0,1,2,100.0,100.0,75.0,1,0,3,3
Tim Patrick,12087,WR,DEN,16,1,10,58.1,0,0,5,1.0,0.9,80.0,3,1,1,5,527,,0,0,0,0.0,0.0,,0,0,0,235
J.P. Holtz,11062,TE,CHI,9,0,6,77.5,0,0,4,20.0,22.7,100.0,0,0,0,5,22,,0,0,0,0.0,0.0,,0,0,0,4
Allen Lazard,48135,WR,GB,16,0,12,75.0,0,0,5,1.1,1.0,100.0,0,0,0,5,488,,0,0,0,0.0,0.0,,0,0,0,176
Hunter Long,60859,TE,MIA,6,0,17,35.0,0,1,5,18.5,18.5,90.0,0,1,0,5,27,,0,0,0,,,,0,0,0,0
Reggie Bonnafon,47542,HB,CAR,1,0,5,53.9,1,0,4,33.3,30.8,87.5,0,1,0,4,13,44.2,1,0,2,25.0,22.2,75.0,1,0,2,9
Jonathan Ward,25859,HB,ARZ,5,0,1,26.6,0,0,3,10.7,13.8,100.0,0,0,0,4,29,12.4,0,0,1,11.1,20.0,100.0,0,0,2,10
Matt Breida,12271,HB,BUF,7,0,4,22.3,0,0,4,9.1,8.5,75.0,0,1,1,4,47,55.2,0,0,3,13.6,13.0,100.0,0,0,3,23
Noah Brown,11993,WR,DAL,14,0,9,74.1,0,0,4,2.4,2.2,100.0,1,0,0,4,186,,0,0,0,0.0,0.0,,0,0,0,99
Olamide Zaccheaus,44920,WR,ATL,17,0,2,56.6,0,1,4,1.1,1.0,87.5,0,1,0,4,400,,0,0,0,0.0,0.0,,0,0,0,164
Josh Oliver,47083,TE,BLT,13,0,3,74.7,0,0,3,3.3,4.2,100.0,0,0,0,4,96,,0,0,0,0.0,0.0,,0,0,0,50
Jared Pinkney,47214,TE,DET,2,0,11,80.7,0,0,4,21.1,21.1,100.0,0,0,0,4,19,,0,0,0,0.0,0.0,,0,0,0,8
Mitchell Wilcox,47234,TE,CIN,12,0,7,74.5,0,0,4,8.7,8.3,100.0,0,0,0,4,48,70.2,0,0,1,8.3,7.7,100.0,0,0,1,13
Anthony Firkser,51837,TE,TEN,16,1,31,33.1,0,0,3,1.1,1.3,100.0,2,0,0,4,298,41.7,0,0,2,1.2,1.7,100.0,0,0,3,177
James Carpenter,6177,G,NO,3,0,20,73.1,0,0,4,80.0,80.0,100.0,0,0,0,4,5,,0,0,0,,,,0,0,0,0
Scottie Phillips,83711,HB,HST,2,0,13,29.7,0,1,4,30.8,30.8,87.5,0,1,0,4,13,74.4,0,0,1,33.3,33.3,100.0,0,0,1,3
Richard Rodgers,8733,TE,PHI,4,0,24,72.4,0,0,3,13.6,12.5,100.0,0,0,0,3,24,,0,0,0,0.0,0.0,,0,0,0,11
Tyler Boyd,10689,WR,CIN,20,0,7,68.6,0,0,3,0.4,0.4,100.0,0,0,0,3,719,,0,0,0,0.0,0.0,,0,0,0,364
Scott Daly,18793,LS,DET,3,0,11,87.0,0,0,3,100.0,100.0,100.0,0,0,0,3,3,,0,0,0,,,,0,0,0,0
