player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Rashod Bateman,84296,WR,BLT,1,5,0,3,0,,0,,,0,0,,0,-0.26,0,0,,45.5,0,0,0.0,0,8,57.1,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.52,0,0,68.3,56.7,0,0,0.0,0,5,0.0,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0
Keon Coleman,144949,WR,BUF,1,5,0,4,0,,0,,,0,0,,0,1.17,0,0,,51.2,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.0,0,0,74.6,65.1,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Jauan Jennings,48027,WR,SF,1,5,0,28,0,,0,,,0,0,,0,-0.54,0,0,,50.7,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,9.7,2,100.0,,0,0,0.0,0,0.19,2,0,76.5,77.8,0,22,0.0,0,11,60.0,3,90.9,10,115.3,3,30.0,0,35,6,2.0,11.7,3.5
George Kittle,11901,TE,SF,1,5,0,28,0,,0,,,0,0,,0,-0.54,0,0,,47.0,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,5.0,0,100.0,,0,0,0.0,0,0.26,0,0,72.1,48.9,0,6,9.1,1,11,50.0,1,81.8,9,91.7,1,11.1,0,6,1,1.0,6.0,0.67
Andrei Iosivas,109811,WR,CIN,1,5,0,7,0,-2.0,0,100.0,,0,0,0.0,0,-1.06,0,0,78.7,54.6,0,1,0.0,0,3,33.3,1,100.0,3,79.2,1,33.3,0,1,3,3.0,1.0,0.33,-2.0,0,100.0,,0,0,0.0,0,-1.09,0,0,74.6,61.8,0,1,0.0,0,10,33.3,1,90.0,9,79.2,1,11.1,0,1,3,3.0,1.0,0.11
David Njoku,11784,TE,CLV,1,5,0,8,0,-1.0,0,100.0,,0,0,0.0,0,-0.14,0,0,78.7,66.0,0,3,0.0,0,1,0.0,1,100.0,1,79.2,1,100.0,0,3,4,4.0,3.0,3.0,11.0,0,100.0,,0,0,0.0,0,0.03,1,0,31.8,64.0,0,29,0.0,0,3,66.7,1,100.0,3,118.8,1,33.3,0,29,18,18.0,29.0,9.67
Bijan Robinson,123126,HB,ATL,1,5,0,2,0,-0.5,1,100.0,,0,0,0.0,0,-0.06,1,0,84.5,92.5,0,7,0.0,0,2,50.0,2,100.0,2,91.7,2,100.0,0,12,13,6.5,6.0,6.0,,0,,,0,0,,0,-0.08,0,0,81.1,92.1,0,0,0.0,0,4,33.3,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0
Quentin Johnston,123085,WR,LAC,1,5,0,27,0,1.0,0,100.0,,0,0,0.0,0,0.46,0,0,78.7,59.8,0,13,0.0,0,2,100.0,1,100.0,2,118.8,1,50.0,0,13,12,12.0,13.0,6.5,,0,,,0,0,,0,-0.65,0,0,72.1,59.7,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Christian Watson,66581,WR,GB,1,5,0,12,0,,0,,,0,0,,0,0.14,0,0,,51.9,0,0,0.0,0,3,33.3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,9.5,0,50.0,100.0,1,1,0.0,0,1.38,1,0,72.1,57.5,0,2,0.0,0,10,77.8,1,90.0,9,95.8,2,22.2,1,2,0,0.0,2.0,0.22
Noah Fant,42388,TE,SEA,1,4,0,29,0,-3.0,0,100.0,,0,0,0.0,0,-0.44,0,0,78.7,58.0,0,2,0.0,0,3,0.0,1,100.0,3,79.2,1,33.3,0,2,5,5.0,2.0,0.67,1.7,1,66.7,,0,0,0.0,0,-0.02,0,0,75.6,59.3,0,9,0.0,0,15,53.8,2,86.7,13,72.9,3,23.1,0,11,8,4.0,5.5,0.85
Puka Nacua,100632,WR,LA,1,4,0,26,0,,0,,,0,0,,0,-0.88,0,0,,52.2,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.15,0,0,72.1,59.4,0,0,0.0,0,5,60.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0
Terry McLaurin,48229,WR,WAS,1,4,0,32,0,-3.0,0,100.0,,0,0,0.0,0,-0.13,0,0,78.7,52.4,0,6,0.0,0,7,57.1,1,100.0,7,91.7,1,14.3,0,6,9,9.0,6.0,0.86,14.0,0,50.0,,0,0,0.0,0,0.0,0,0,70.5,58.1,0,6,0.0,0,6,60.0,1,83.3,5,56.3,2,40.0,0,6,9,9.0,6.0,1.2
Christian Kirk,47546,WR,JAX,1,4,0,15,0,,0,,,0,0,,0,-0.03,0,0,,52.2,0,0,0.0,0,3,66.7,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,13.5,0,25.0,100.0,1,1,66.7,2,-0.37,1,0,25.0,48.7,0,30,0.0,0,16,33.3,1,93.8,15,58.3,4,26.7,0,30,5,5.0,30.0,2.0
Austin Ekeler,12164,HB,WAS,1,4,0,32,0,-7.0,0,100.0,,0,0,0.0,0,-0.08,0,0,78.7,55.8,0,7,0.0,0,5,60.0,1,100.0,5,95.8,1,20.0,0,7,14,14.0,7.0,1.4,,0,,,0,0,,0,0.31,0,0,74.6,64.7,0,0,0.0,0,4,66.7,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0
Darius Slayton,25578,WR,NYG,1,4,0,21,0,,0,,,0,0,,0,-1.8,0,0,,48.7,0,0,0.0,0,5,20.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,14.0,0,0.0,,0,0,,0,-0.53,0,0,72.1,59.0,1,0,0.0,0,13,46.2,0,100.0,13,0.0,1,7.7,0,0,0,,,0.0
Tony Pollard,27126,HB,TEN,1,4,0,31,0,-6.0,0,100.0,,0,0,0.0,0,0.23,0,0,78.7,62.7,0,-2,0.0,0,2,50.0,1,100.0,2,79.2,1,50.0,0,-2,4,4.0,-2.0,-1.0,-6.0,0,100.0,,0,0,0.0,0,-0.56,0,0,41.6,47.1,0,-2,0.0,0,3,33.3,1,100.0,3,79.2,1,33.3,0,-2,4,4.0,-2.0,-0.67
Travis Kelce,7844,TE,KC,1,4,0,16,0,,0,,,0,0,,0,0.4,0,0,,50.7,0,0,33.3,1,3,66.7,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,2.0,0,100.0,,0,0,0.0,0,0.7,1,0,29.7,64.0,0,10,0.0,0,15,69.2,2,86.7,13,89.6,2,15.4,0,11,7,3.5,5.5,0.85
Zack Moss,40341,HB,CIN,1,4,0,7,0,-4.0,0,100.0,,0,0,0.0,0,-1.33,1,0,78.7,96.8,0,12,50.0,1,2,50.0,1,50.0,1,116.7,1,100.0,0,12,16,16.0,12.0,12.0,,0,,,0,0,,0,0.0,0,0,27.3,29.3,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Brian Robinson,57120,HB,WAS,1,4,0,32,0,-6.0,0,100.0,,0,0,0.0,0,-0.25,0,0,78.7,73.1,0,4,0.0,0,2,50.0,1,100.0,2,83.3,1,50.0,0,4,10,10.0,4.0,2.0,2.5,3,100.0,,0,0,0.0,0,1.52,1,0,76.5,98.3,0,32,0.0,0,2,100.0,2,100.0,2,118.8,2,100.0,0,45,40,20.0,22.5,22.5
Tyjae Spears,97195,HB,TEN,1,4,0,31,0,-3.0,0,100.0,,0,0,0.0,0,-0.54,1,0,84.5,67.1,0,5,20.0,1,5,20.0,2,80.0,4,81.3,2,50.0,0,7,13,6.5,3.5,1.75,1.0,0,100.0,,0,0,0.0,0,-0.74,0,0,78.0,60.1,0,2,0.0,0,2,0.0,1,100.0,2,79.2,1,50.0,0,2,1,1.0,2.0,1.0
