player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Brian Robinson,57120,HB,SF,17,0,28,,0.0,0,0.0,32,60.8,0,20.0,24,120,60.0,1.6,1,4.2,63
Bryce Cabeldue,122550,G,SEA,5,0,29,57.4,100.0,6,25.0,6,70.7,1,100.0,24,24,74.1,100.0,14,58.3,14
James Hudson III,59854,T,NYG,2,0,21,47.6,100.0,10,41.7,10,49.9,1,100.0,24,24,57.3,100.0,11,45.8,11
Woody Marks,124179,HB,HST,18,0,13,60.0,0.8,1,4.2,130,77.3,0,9.1,24,264,60.0,1.9,2,8.3,107
Kenneth Walker III,97199,HB,SEA,20,0,29,60.0,1.8,2,8.7,110,54.5,1,7.2,23,320,57.7,2.7,5,21.7,187
Alvin Kamara,11822,HB,NO,11,0,20,56.6,18.0,11,47.8,61,68.0,0,14.6,23,157,60.0,4.8,4,17.4,84
Javonte Williams,77803,HB,DAL,16,0,9,60.0,0.9,1,4.3,113,56.9,0,8.3,23,278,60.0,0.7,1,4.3,142
Jarrett Stidham,13725,QB,DEN,2,0,10,60.0,100.0,9,39.1,9,60.0,0,92.0,23,25,60.0,90.0,9,39.1,10
Trevor Etienne,157730,HB,CAR,14,0,5,60.0,8.3,1,4.3,12,62.5,0,53.5,23,43,60.3,30.8,4,17.4,13
Tai Felton,144886,WR,MIN,6,0,18,60.0,100.0,5,21.7,5,62.8,0,100.0,23,23,61.9,100.0,12,52.2,12
Josiah Deguara,47034,TE,ARZ,8,0,1,40.4,100.0,15,65.2,15,43.0,0,100.0,23,23,58.6,100.0,4,17.4,4
Zak Zinter,129605,G,CLV,4,0,8,45.4,100.0,8,36.4,8,48.5,0,100.0,22,22,57.1,100.0,11,50.0,11
Ko Kieft,41372,TE,TB,3,0,30,73.9,100.0,10,45.5,10,83.6,0,100.0,22,22,72.7,100.0,11,50.0,11
LeQuint Allen,158290,HB,JAX,14,0,15,60.0,20.0,2,9.1,10,44.8,0,47.8,22,46,57.7,20.0,4,18.2,20
Bhayshul Tuten,150568,HB,JAX,16,0,15,60.0,8.3,3,13.6,36,52.3,0,19.8,22,111,,0.0,0,0.0,55
Joshua Dobbs,11890,QB,NE,4,0,19,60.0,100.0,9,40.9,9,60.0,0,71.0,22,31,60.0,100.0,10,45.5,10
Jeremy McNichols,11917,HB,WAS,17,0,32,66.3,31.0,9,42.9,29,67.9,0,30.9,21,68,60.0,3.6,1,4.8,28
Stone Smartt,60492,TE,NYJ,6,0,22,,,0,0.0,0,49.6,0,100.0,21,21,52.7,100.0,14,66.7,14
Gardner Minshew,41401,QB,KC,3,0,16,60.0,100.0,1,4.8,1,60.0,0,80.8,21,26,60.0,100.0,19,90.5,19
Mason Kinsey,115664,WR,TEN,8,0,31,59.2,100.0,14,66.7,14,58.3,0,100.0,21,21,59.4,100.0,5,23.8,5
Cam Grandy,134552,TE,CIN,5,0,7,55.8,100.0,7,33.3,7,61.0,0,100.0,21,21,65.6,100.0,9,42.9,9
Nick Mullens,12282,QB,JAX,5,0,15,60.0,100.0,11,52.4,11,60.0,0,63.6,21,33,60.0,100.0,9,42.9,9
Nikko Remigio,84150,WR,KC,5,0,16,60.0,100.0,2,9.5,2,59.5,0,95.5,21,22,58.8,100.0,18,85.7,18
Emanuel Wilson,154173,HB,GB,18,0,12,60.0,3.9,2,10.0,51,31.6,0,13.7,20,146,59.1,6.1,5,25.0,82
Lucas Krull,83962,TE,DEN,3,0,10,57.1,100.0,9,45.0,9,55.0,0,100.0,20,20,55.0,100.0,7,35.0,7
Isiah Pacheco,83747,HB,KC,13,0,16,60.0,4.0,1,5.0,25,60.7,0,14.4,20,139,60.0,1.1,1,5.0,91
Jared Wayne,99691,WR,HST,1,0,13,59.0,100.0,8,40.0,8,59.5,0,100.0,20,20,60.8,100.0,8,40.0,8
Chase Brown,77787,HB,CIN,17,0,7,59.8,0.9,1,5.0,113,56.1,0,7.7,20,261,58.5,2.5,3,15.0,119
Kenny Pickett,60515,QB,LV,5,0,23,60.0,100.0,8,40.0,8,60.0,0,90.9,20,22,60.0,84.6,11,55.0,13
Andre Baccellia,47901,WR,ARZ,4,0,1,54.3,100.0,12,60.0,12,51.5,0,100.0,20,20,60.1,100.0,7,35.0,7
Andre James,47058,C,LAC,2,0,27,46.6,100.0,9,45.0,9,33.8,0,100.0,20,20,43.6,100.0,6,30.0,6
Adin Huntington,130493,DI,CLV,10,0,8,65.6,100.0,8,40.0,8,63.5,0,100.0,20,20,60.1,100.0,4,20.0,4
Calvin Throckmorton,28238,G,DEN,4,0,10,85.6,100.0,8,40.0,8,79.6,0,100.0,20,20,64.0,100.0,7,35.0,7
Samaje Perine,11869,HB,CIN,13,0,7,57.1,7.0,3,15.0,43,57.7,0,19.0,20,105,60.0,4.3,2,10.0,46
Jahdae Walker,175944,WR,CHI,7,0,6,59.6,100.0,4,21.1,4,58.5,0,100.0,19,19,58.8,100.0,13,68.4,13
Kareem Hunt,11841,HB,KC,17,0,16,59.1,3.8,2,10.5,53,57.2,1,10.4,19,183,,0.0,0,0.0,104
Joe Milton III,82151,QB,DAL,4,0,9,60.0,100.0,6,31.6,6,60.0,0,90.5,19,21,60.0,83.3,10,52.6,12
Devin Singletary,40485,HB,NYG,17,0,21,48.9,18.3,11,61.1,60,48.0,0,12.8,18,141,60.0,1.4,1,5.6,74
