season,team,hc,hc_prev,hc_changed,oc,dc,dc_prev,dc_source,oc_changed,dc_changed,dc_to_hc,def_staff_changed,coaching_cohort
2018,GB,Mike McCarthy,Mike McCarthy,0.0,,Mike Pettine,Dom Capers,wikipedia,,1.0,False,1.0,dc_only
2018,HOU,Bill O'Brien,Bill O'Brien,0.0,,Romeo Crennel,Mike Vrabel,wikipedia,,1.0,False,1.0,dc_only
2018,IND,Frank Reich,Chuck Pagano,1.0,,Matt Eberflus,Ted Monachino,wikipedia,,1.0,False,1.0,both
2018,JAX,Doug Marrone,Doug Marrone,0.0,,Todd Wash,Todd Wash,wikipedia,,0.0,False,0.0,none
2018,KC,Andy Reid,Andy Reid,0.0,,,,,,,False,0.0,unknown
2018,LA,Sean McVay,Sean McVay,0.0,,Wade Phillips,Wade Phillips,wikipedia,,0.0,False,0.0,none
2018,LAC,Anthony Lynn,Anthony Lynn,0.0,,Gus Bradley,Gus Bradley,wikipedia,,0.0,False,0.0,none
2018,LV,Jon Gruden,Jack Del Rio,1.0,,,,,,,False,1.0,unknown
2018,MIA,Adam Gase,Adam Gase,0.0,,,,,,,False,0.0,unknown
2018,MIN,Mike Zimmer,Mike Zimmer,0.0,,,,,,,False,0.0,unknown
2018,NE,Bill Belichick,Bill Belichick,0.0,,Brian Flores,Matt Patricia,wikipedia,,1.0,False,1.0,dc_only
2018,NO,Sean Payton,Sean Payton,0.0,,,,,,,False,0.0,unknown
2018,NYG,Pat Shurmur,Ben McAdoo,1.0,,James Bettcher,Steve Spagnuolo,wikipedia,,1.0,False,1.0,both
2018,NYJ,Todd Bowles,Todd Bowles,0.0,,Kacy Rodgers,Kacy Rodgers,wikipedia,,0.0,False,0.0,none
2018,PHI,Doug Pederson,Doug Pederson,0.0,,Jim Schwartz,Jim Schwartz,wikipedia,,0.0,False,0.0,none
2018,PIT,Mike Tomlin,Mike Tomlin,0.0,,,,,,,False,0.0,unknown
2018,SEA,Pete Carroll,Pete Carroll,0.0,,Ken Norton Jr.,Kris Richard,wikipedia,,1.0,False,1.0,dc_only
2018,SF,Kyle Shanahan,Kyle Shanahan,0.0,,Robert Saleh,Robert Saleh,wikipedia,,0.0,False,0.0,none
2018,TB,Dirk Koetter,Dirk Koetter,0.0,,Mark Duffner,,wikipedia,,,False,0.0,unknown
2018,TEN,Mike Vrabel,Mike Mularkey,1.0,,Dean Pees,Dick LeBeau,wikipedia,,1.0,False,1.0,both
2018,WAS,Jay Gruden,Jay Gruden,0.0,,Greg Manusky,Greg Manusky,wikipedia,,0.0,False,0.0,none
2019,ARI,Kliff Kingsbury,Steve Wilks,1.0,,Vance Joseph,Al Holcomb,wikipedia,,1.0,False,1.0,both
2019,ATL,Dan Quinn,Dan Quinn,0.0,,,,,,,False,0.0,unknown
2019,BAL,John Harbaugh,John Harbaugh,0.0,,Don Martindale,Don Martindale,wikipedia,,0.0,False,0.0,none
2019,BUF,Sean McDermott,Sean McDermott,0.0,,Leslie Frazier,Leslie Frazier,wikipedia,,0.0,False,0.0,none
2019,CAR,Ron Rivera,Ron Rivera,0.0,,,,,,,False,0.0,unknown
2019,CHI,Matt Nagy,Matt Nagy,0.0,,Chuck Pagano,Vic Fangio,wikipedia,,1.0,False,1.0,dc_only
2019,CIN,Zac Taylor,Marvin Lewis,1.0,,Lou Anarumo,,wikipedia,,,False,1.0,unknown
2019,CLE,Freddie Kitchens,Hue Jackson,1.0,,Steve Wilks,Gregg Williams,wikipedia,,1.0,False,1.0,both
2019,DAL,Jason Garrett,Jason Garrett,0.0,,Rod Marinelli,Rod Marinelli,wikipedia,,0.0,False,0.0,none
2019,DEN,Vic Fangio,Vance Joseph,1.0,,Ed Donatell,,wikipedia,,,False,1.0,unknown
2019,DET,Matt Patricia,Matt Patricia,0.0,,Paul Pasqualoni,Paul Pasqualoni,wikipedia,,0.0,False,0.0,none
2019,GB,Matt LaFleur,Mike McCarthy,1.0,,Mike Pettine,Mike Pettine,wikipedia,,0.0,False,1.0,hc_only
2019,HOU,Bill O'Brien,Bill O'Brien,0.0,,Romeo Crennel,Romeo Crennel,wikipedia,,0.0,False,0.0,none
