year,week,player,pos,base_proj,var_proj,actual,var_error,perstat_shift,abs_error
2025,15,Tyler Warren,TE,9.76,11.37,4.9,6.47,1.61,6.47
2025,12,Kayshon Boutte,WR,10.35,9.96,3.5,6.46,-0.39,6.46
2025,8,Mac Jones,QB,11.34,11.56,18.02,-6.46,0.22,6.46
2025,9,Travis Etienne,RB,9.95,10.04,16.5,-6.46,0.09,6.46
2024,18,Josh Jacobs,RB,18.14,18.05,11.6,6.45,-0.09,6.45
2024,16,Jaxon Smith-Njigba,WR,17.17,17.56,24.0,-6.44,0.39,6.44
2025,12,Brenton Strange,TE,8.05,7.86,14.3,-6.44,-0.19,6.44
2025,15,Jonathan Taylor,RB,18.61,19.53,13.1,6.43,0.92,6.43
2025,17,De'Von Achane,RB,20.45,20.63,14.2,6.43,0.18,6.43
2024,4,Mike Gesicki,TE,6.91,6.53,0.1,6.43,-0.38,6.43
2025,14,Davante Adams,WR,14.0,13.33,6.9,6.43,-0.67,6.43
2024,15,Jaylen Warren,RB,8.75,8.93,2.5,6.43,0.18,6.43
2024,17,Geno Smith,QB,14.88,14.73,8.3,6.43,-0.15,6.43
2025,17,Jalen Hurts,QB,15.24,15.32,8.9,6.42,0.08,6.42
2025,9,Ladd McConkey,WR,16.5,16.02,9.6,6.42,-0.48,6.42
2025,13,Matthew Stafford,QB,18.63,18.04,11.62,6.42,-0.59,6.42
2024,13,Tua Tagovailoa,QB,18.71,18.78,25.2,-6.42,0.07,6.42
2024,18,Austin Ekeler,RB,11.88,11.61,5.2,6.41,-0.27,6.41
2024,12,Michael Pittman,WR,9.29,9.19,15.6,-6.41,-0.1,6.41
2024,16,Christian Watson,WR,9.1,8.71,2.3,6.41,-0.39,6.41
2025,7,Sam LaPorta,TE,12.51,10.9,4.5,6.4,-1.61,6.4
2025,7,Kareem Hunt,RB,8.29,8.2,1.8,6.4,-0.09,6.4
2025,16,Kayshon Boutte,WR,9.0,9.0,2.6,6.4,0.0,6.4
2024,11,Aaron Jones,RB,11.79,11.7,5.3,6.4,-0.09,6.4
2024,16,Jalen Coker,WR,9.0,9.19,2.8,6.39,0.19,6.39
2024,17,Drake London,WR,11.21,11.21,17.6,-6.39,0.0,6.39
2024,5,Roschon Johnson,RB,8.11,8.11,14.5,-6.39,0.0,6.39
2025,14,Ja'Marr Chase,WR,16.31,16.59,10.2,6.39,0.28,6.39
2024,7,Jerry Jeudy,WR,8.71,9.19,2.8,6.39,0.48,6.39
2024,4,Courtland Sutton,WR,7.85,8.62,15.0,-6.38,0.77,6.38
2025,16,D'Andre Swift,RB,15.38,15.38,9.0,6.38,0.0,6.38
2024,10,Devin Singletary,RB,11.97,11.88,5.5,6.38,-0.09,6.38
2025,8,Kyle Pitts,TE,8.9,8.52,14.9,-6.38,-0.38,6.38
2025,17,Darren Waller,TE,7.38,7.38,1.0,6.38,0.0,6.38
2024,15,DK Metcalf,WR,12.17,12.17,5.8,6.37,0.0,6.37
