player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Marquise Goodwin,7859,WR,SEA,1,5,0,29,0,-3.5,0,100.0,,0,0,0.0,0,0.68,0,0,84.5,58.8,0,7,0.0,0,4,75.0,2,100.0,4,89.6,2,50.0,0,11,18,9.0,5.5,2.75,-4.0,0,100.0,,0,0,0.0,0,0.17,0,0,73.4,56.0,0,4,0.0,0,4,50.0,1,100.0,4,83.3,1,25.0,0,4,8,8.0,4.0,1.0
Alec Pierce,78038,WR,IND,1,5,0,14,0,,0,,,0,0,,0,1.4,0,0,,50.3,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.52,0,0,72.1,73.7,0,0,0.0,0,4,66.7,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0
Phillip Dorsett,9462,WR,HST,1,5,0,13,0,,0,,,0,0,,0,-0.46,0,0,,49.5,0,0,0.0,0,6,20.0,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.37,0,0,64.7,51.5,0,0,0.0,0,7,40.0,0,71.4,5,0.0,0,0.0,0,0,0,,,0.0
Greg Dulcich,84068,TE,DEN,1,5,0,10,0,,0,,,0,0,,0,0.63,0,0,,46.7,0,0,0.0,0,3,66.7,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,11.5,0,100.0,,0,0,0.0,0,0.17,1,0,74.6,78.6,0,22,0.0,0,13,38.5,2,100.0,13,118.8,2,15.4,0,31,8,4.0,15.5,2.38
Aaron Jones,11937,HB,GB,1,5,0,12,0,-5.3,0,75.0,,0,0,25.0,1,0.01,1,0,27.1,32.7,0,7,16.7,1,6,50.0,3,83.3,5,77.1,4,80.0,0,9,25,8.3,3.0,1.8,-4.0,0,100.0,,0,0,0.0,0,-2.88,0,0,42.1,43.9,0,0,0.0,0,2,0.0,1,100.0,2,79.2,1,50.0,0,0,4,4.0,0.0,0.0
Ameer Abdullah,9487,HB,LV,1,5,0,23,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,76.5,61.6,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Romeo Doubs,84329,WR,GB,1,5,0,12,0,,0,,,0,0,,0,0.07,0,0,,44.5,0,0,0.0,0,8,50.0,0,100.0,8,0.0,0,0.0,0,0,0,,,0.0,26.5,0,100.0,100.0,2,2,0.0,0,-0.04,2,0,73.4,79.9,0,26,0.0,0,19,42.1,2,100.0,19,158.3,2,10.5,1,45,1,0.5,22.5,2.37
Davante Adams,8688,WR,LV,1,5,0,23,0,-2.0,1,100.0,,0,0,0.0,0,-1.03,0,0,78.7,59.1,0,3,0.0,0,3,0.0,1,100.0,3,79.2,1,33.3,0,3,5,5.0,3.0,1.0,,0,,,0,0,,0,-0.15,0,0,27.3,43.7,0,0,0.0,0,7,50.0,0,85.7,6,0.0,0,0.0,0,0,0,,,0.0
Tyler Boyd,10689,WR,CIN,1,5,0,7,0,,0,,,0,0,,0,-0.29,0,0,,48.5,0,0,0.0,0,4,75.0,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,9.0,0,100.0,,0,0,0.0,0,-0.1,2,0,74.6,68.2,0,14,0.0,0,35,40.6,2,91.4,32,118.8,2,6.3,0,25,7,3.5,12.5,0.78
Zach Ertz,7816,TE,ARZ,1,5,0,1,0,-2.5,2,100.0,,0,0,0.0,0,0.13,2,0,84.5,94.6,0,11,9.1,1,11,50.0,2,63.6,7,145.8,2,28.6,1,19,24,12.0,9.5,2.71,10.0,0,100.0,,0,0,0.0,0,0.15,1,0,75.6,62.1,0,13,0.0,0,34,48.1,1,79.4,27,118.8,1,3.7,0,13,3,3.0,13.0,0.48
