player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Jason Cabinda,50714,FB,DET,15,3,0,11,,0,,,0,0,,0,0.34,0,0,,56.6,0,0,63.6,7,11,50.0,0,36.4,4,0.0,0,0.0,0,0,0,,,0.0,0,1.0,0,66.7,,0,0,0.0,0,-0.37,1,0,68.3,55.8,1,4,40.9,9,22,45.0,2,59.1,13,30.6,3,23.1,0,8,5,2.5,4.0,0.62
Marlon Mack,11898,HB,IND,1,3,0,14,,0,,,0,0,,0,0.61,0,0,,56.8,0,0,0.0,0,3,66.7,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,0.0,0,100.0,,0,0,0.0,0,-0.7,1,0,70.5,81.0,0,19,0.0,0,4,50.0,3,100.0,4,108.3,3,75.0,0,30,30,10.0,10.0,7.5
Jake Butt,11900,TE,DEN,5,3,0,10,-1.0,0,100.0,,0,0,0.0,0,-0.64,0,0,64.7,45.1,0,0,20.0,5,25,30.0,1,72.0,18,79.2,1,5.6,0,0,1,1.0,0.0,0.0,0,4.0,0,50.0,,0,0,0.0,0,-0.18,0,0,64.7,48.0,0,5,16.0,4,25,37.5,1,80.0,20,56.3,2,10.0,0,5,1,1.0,5.0,0.25
Trenton Cannon,66446,HB,CAR,8,3,0,5,,0,,,0,0,,0,0.54,0,0,,53.4,0,0,0.0,0,8,57.1,0,87.5,7,0.0,0,0.0,0,0,0,,,0.0,0,0.7,1,100.0,,0,0,0.0,0,-0.14,1,0,72.1,61.8,0,19,5.3,1,19,43.8,3,78.9,15,88.9,3,20.0,0,16,14,4.7,5.3,1.07
Deontay Burnett,47477,WR,PHI,2,3,0,24,,0,,,0,0,,0,-0.16,0,0,,50.7,0,0,0.0,0,18,47.1,0,94.4,17,0.0,0,0.0,0,0,0,,,0.0,0,4.7,0,100.0,,0,0,0.0,0,0.26,1,0,70.5,60.2,0,10,0.0,0,20,50.0,3,90.0,18,93.1,3,16.7,0,19,5,1.7,6.3,1.06
Cyril Grayson,12077,WR,TB,3,3,0,30,43.0,0,0.0,,0,0,,0,-0.18,0,0,,55.0,0,0,0.0,0,5,50.0,0,80.0,4,39.6,1,25.0,0,0,0,,,0.0,0,1.0,0,0.0,,0,0,,0,-0.27,0,0,,47.3,0,0,0.0,0,20,22.2,0,90.0,18,39.6,1,5.6,0,0,0,,,0.0
Darrynton Evans,40692,HB,TEN,6,3,0,31,-1.0,2,100.0,,0,0,0.0,0,0.88,2,0,68.3,77.9,0,24,25.0,2,8,75.0,2,75.0,6,158.3,2,33.3,1,27,29,14.5,13.5,4.5,0,,0,,,0,0,,0,-0.12,0,0,,53.1,0,0,0.0,0,10,55.6,0,90.0,9,0.0,0,0.0,0,0,0,,,0.0
Tajae Sharpe,10774,WR,MIN,4,3,0,18,,0,,,0,0,,0,-0.62,0,0,,60.0,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,33.0,0,0.0,,0,0,,0,-0.63,0,0,,46.4,0,0,0.0,0,12,33.3,0,100.0,12,39.6,3,25.0,0,0,0,,,0.0
Vyncint Smith,66957,WR,NYJ,4,3,0,22,13.5,0,0.0,0.0,0,1,,0,0.05,0,0,,52.1,0,0,0.0,0,12,58.3,0,100.0,12,39.6,2,16.7,0,0,0,,,0.0,0,12.0,0,100.0,,0,0,0.0,0,-0.48,1,0,64.7,59.6,0,13,0.0,0,19,44.4,1,94.7,18,118.8,1,5.6,0,13,1,1.0,13.0,0.72
James Proche II,48037,WR,BLT,8,3,0,3,6.0,0,100.0,,0,0,0.0,0,0.0,1,0,64.7,63.8,0,14,0.0,0,9,44.4,1,100.0,9,118.8,1,11.1,0,14,8,8.0,14.0,1.56,0,5.0,0,0.0,,0,0,,0,-1.24,0,0,,56.2,2,0,0.0,0,5,40.0,0,100.0,5,0.0,2,40.0,0,0,0,,,0.0
