player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Terrell Burgess,45255,S,LA,4,45,0,26,0,6.8,50.0,100.0,4.5,2.3,0,1,25.0,61.1,0,8,0.0,0,1,56.3,2,11,24.4,11,1,2,4,0,11,1,1.2,5.5,0,0,6.7,66.7,100.0,16.0,10.7,0,0,0.0,46.7,0,17,0.0,0,0,84.0,2,33,73.3,33,2,2,3,0,19,4,0.6,9.5
Essang Bassey,45258,CB,DEN,10,250,0,10,0,8.8,75.0,94.6,13.3,10.0,0,1,12.5,70.9,0,10,0.0,0,0,84.9,6,87,34.8,92,2,7,8,0,39,1,0.5,6.5,0,1,5.9,89.5,95.6,8.6,7.7,0,0,0.0,36.5,1,27,20.0,2,0,87.1,17,152,60.8,159,0,7,19,0,193,97,1.3,11.4
Jordan Fuller,45326,S,LA,14,540,0,26,0,7.3,75.0,100.0,10.5,7.9,0,0,0.0,56.5,1,39,0.0,0,0,102.6,6,63,11.7,63,1,4,8,2,73,29,1.2,12.2,0,5,9.5,72.4,100.0,20.8,15.1,0,3,10.3,61.8,2,59,9.8,4,2,90.4,21,457,84.6,457,5,32,29,1,315,168,0.7,15.0
Blake Lynch,47621,LB,MIN,2,26,0,18,0,,,50.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,3.8,2,0,0,0,0,0,0,0.0,,0,0,8.0,25.0,88.0,22.0,5.5,0,1,25.0,28.9,0,9,0.0,0,1,39.6,1,22,84.6,25,0,1,4,0,9,3,0.4,9.0
Michael Jacquet,47826,CB,PHI,4,87,0,24,0,9.8,75.0,100.0,4.7,3.5,0,1,12.5,32.7,0,69,0.0,0,1,156.3,6,29,33.3,29,0,2,8,2,134,74,4.8,22.3,0,2,15.7,69.2,96.5,5.9,4.1,1,2,15.4,31.7,0,45,12.5,1,2,111.9,9,55,63.2,57,0,5,13,0,177,64,3.3,19.7
Deante Burton,47970,CB,DAL,2,15,0,9,0,4.5,50.0,100.0,5.0,2.5,0,0,0.0,63.6,0,18,0.0,0,0,81.3,1,5,33.3,5,1,2,2,0,18,13,3.6,18.0,0,0,0.0,100.0,100.0,8.0,8.0,0,0,0.0,51.6,0,9,100.0,1,0,104.2,1,8,53.3,8,0,0,1,0,9,9,1.1,9.0
Stantley Thomas-Oliver III,47981,CB,CAR,5,52,0,5,0,5.5,100.0,100.0,4.0,4.0,0,0,0.0,64.5,0,10,0.0,0,0,139.6,2,10,19.2,10,1,1,2,1,16,5,2.0,8.0,0,0,12.0,80.0,100.0,10.0,8.0,0,0,0.0,59.2,0,32,0.0,0,0,118.8,4,41,78.8,41,2,5,5,0,63,17,1.6,15.8
Jayson Stanley,48212,CB,SEA,1,1,0,29,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,9.0,100.0,100.0,1.0,1.0,0,0,0.0,60.0,0,9,,0,0,104.2,1,1,100.0,1,0,0,1,0,9,0,9.0,9.0
Isaiah Johnson,48233,CB,LV,11,126,0,23,1,9.5,80.0,95.8,4.4,3.5,0,1,10.0,28.4,0,23,0.0,0,0,137.5,8,46,36.5,48,1,3,10,1,90,23,2.6,11.3,0,1,11.6,45.5,98.6,13.0,5.9,0,2,18.2,55.7,0,18,33.3,2,2,66.1,5,69,54.8,70,1,3,11,0,69,29,1.1,13.8
Jaylon Ferguson,48362,ED,BLT,14,24,0,3,0,,,15.1,,,0,2,,85.8,0,,50.0,1,1,0.0,0,11,45.8,73,0,1,0,0,0,0,0.0,,0,0,-0.5,100.0,14.0,6.0,6.0,0,0,0.0,63.6,0,9,40.0,2,0,91.7,2,12,50.0,86,4,3,2,0,12,13,1.0,6.0
