player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_epa,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_positive_epa_percent,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_epa,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_positive_epa_percent,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Christian Watson,66581,WR,GB,1,2,0,12,,0,,,0,0,,0,-0.14,0,0,,55.4,0,0,0.0,0,6,25.0,0,66.7,4,0.0,0,0.0,0,0,0,,,0.0,0,10.0,1,50.0,,0,0,0.0,0,-0.29,1,0,64.7,62.3,1,11,0.0,0,14,53.8,1,92.9,13,27.1,2,15.4,0,11,12,12.0,11.0,0.85
Gus Edwards,46027,HB,BLT,1,2,0,3,,0,,,0,0,,0,1.13,0,0,,58.1,0,0,60.0,3,5,80.0,0,40.0,2,0.0,0,0.0,0,0,0,,,0.0,0,0.0,0,50.0,,0,0,0.0,0,0.12,0,0,64.7,63.3,0,-1,25.0,1,4,50.0,1,75.0,3,56.3,2,66.7,0,-1,2,2.0,-1.0,-0.33
Justice Hill,45865,HB,BLT,1,2,0,3,-0.5,0,100.0,,0,0,0.0,0,-0.13,1,0,68.3,77.8,0,8,0.0,0,10,50.0,2,100.0,10,89.6,2,20.0,0,11,12,6.0,5.5,1.1,0,,0,,,0,0,,0,0.26,0,0,,53.4,0,0,40.0,4,10,50.0,0,60.0,6,0.0,0,0.0,0,0,0,,,0.0
Xavier Hutchinson,122518,WR,HST,1,2,0,13,-4.0,2,100.0,,0,0,0.0,0,-1.74,0,0,64.7,60.0,0,2,0.0,0,3,0.0,1,100.0,3,79.2,1,33.3,0,2,6,6.0,2.0,0.67,0,-5.0,1,100.0,,0,0,0.0,0,0.01,0,0,64.7,56.0,0,-5,0.0,0,8,25.0,1,100.0,8,79.2,1,12.5,0,-5,0,0.0,-5.0,-0.63
Trey Palmer,99248,WR,TB,1,2,0,30,,0,,,0,0,,0,0.86,0,0,,53.6,0,0,0.0,0,8,66.7,0,75.0,6,0.0,0,0.0,0,0,0,,,0.0,0,13.0,0,100.0,,0,0,0.0,0,-0.07,1,0,64.7,63.9,0,23,0.0,0,14,42.9,1,100.0,14,118.8,1,7.1,0,23,10,10.0,23.0,1.64
Chase Edmonds,45851,HB,TB,1,2,0,30,,0,,,0,0,,0,-0.47,0,0,64.7,59.3,0,0,25.0,1,4,33.3,0,50.0,2,0.0,0,0.0,0,0,0,,,0.0,0,0.0,1,100.0,,0,0,0.0,0,-0.4,0,0,68.3,66.4,0,14,16.7,1,6,50.0,2,83.3,5,104.2,2,40.0,0,18,18,9.0,9.0,3.6
Chris Conley,9509,WR,SF,1,1,0,28,,0,,,0,0,,0,1.06,0,0,,59.1,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,17.0,0,100.0,,0,0,0.0,0,0.03,1,0,64.7,63.4,0,17,0.0,0,12,50.0,1,100.0,12,118.8,1,8.3,0,17,0,0.0,17.0,1.42
Clyde Edwards-Helaire,57279,HB,KC,1,1,0,16,,0,,,0,0,,0,0.11,0,0,,58.9,0,0,50.0,2,4,33.3,0,50.0,2,0.0,0,0.0,0,0,0,,,0.0,0,-5.0,0,100.0,,0,0,0.0,0,0.17,0,0,64.7,58.8,0,-1,0.0,0,4,50.0,1,100.0,4,79.2,1,25.0,0,-1,4,4.0,-1.0,-0.25
Jason Cabinda,50714,FB,DET,1,1,0,11,,0,,,0,0,,0,1.31,0,0,,59.3,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,,0,,,0,0,,0,1.4,0,0,,,0,0,100.0,1,1,100.0,0,0.0,0,0.0,0,,0,0,0,,,
Charlie Kolar,60917,TE,BLT,1,1,0,3,4.0,0,100.0,,0,0,0.0,0,0.86,0,0,64.7,51.3,0,4,16.7,1,6,83.3,1,83.3,5,83.3,1,20.0,0,4,0,0.0,4.0,0.8,0,,0,,,0,0,,0,0.13,0,0,,54.5,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
