player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_epa,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_positive_epa_percent,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_epa,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_positive_epa_percent,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Marquise Goodwin,7859,WR,CLV,1,2,0,8,0,,0,,,0,0,,0,0.43,0,0,,52.9,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-2.77,0,0,27.9,44.0,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Chigoziem Okonkwo,84000,TE,TEN,1,2,0,31,0,,0,,,0,0,,0,1.56,0,0,,54.0,0,0,50.0,1,2,100.0,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.31,0,0,,47.0,0,0,0.0,0,19,37.5,0,84.2,16,0.0,0,0.0,0,0,0,,,0.0
Greg Dulcich,84068,TE,DEN,1,2,0,10,0,,0,,,0,0,,0,-1.33,0,0,,53.3,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,6.0,0,100.0,,0,0,0.0,0,-0.14,1,0,72.1,81.5,0,9,0.0,0,8,62.5,1,100.0,8,104.2,1,12.5,0,9,3,3.0,9.0,1.13
Cole Turner,84330,TE,WAS,1,2,0,32,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,2.09,0,0,64.7,68.1,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Kyren Williams,97118,HB,LA,1,2,0,26,0,,0,,,0,0,,0,-0.01,0,0,,52.2,0,2,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,2,2,,,1.0,,0,,,0,0,,0,0.65,0,0,,47.5,0,0,0.0,0,3,66.7,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Drew Ogletree,138351,TE,IND,1,2,0,14,0,,0,,,0,0,,0,-0.49,0,0,,43.5,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.0,0,0,64.7,76.3,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Derrick Henry,10679,HB,TEN,1,2,0,31,0,-5.5,0,100.0,,0,0,0.0,0,0.91,1,0,84.5,99.9,0,46,0.0,0,3,66.7,2,100.0,3,118.8,2,66.7,0,56,67,33.5,28.0,18.67,,0,,,0,0,,0,0.0,0,0,68.3,65.5,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Rachaad White,131633,HB,TB,1,2,0,30,0,,0,,,0,0,,0,-0.08,0,0,,52.5,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.58,0,0,68.3,48.4,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Raheem Mostert,9783,HB,MIA,1,2,0,17,0,,0,,,0,0,,0,-0.59,0,0,,50.4,0,0,0.0,0,2,0.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,7.0,0,100.0,100.0,1,1,0.0,0,0.6,0,0,72.1,51.7,0,8,0.0,0,5,40.0,1,100.0,5,100.0,1,20.0,0,8,1,1.0,8.0,1.6
Dontayvion Wicks,99711,WR,GB,1,2,0,12,0,,0,,,0,0,,0,-0.26,0,0,,52.2,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0.91,0,0,,49.4,0,0,0.0,0,7,42.9,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0
Jerick McKinnon,8731,HB,KC,1,2,0,16,0,,0,,,0,0,,0,-0.26,0,0,,60.0,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,1.59,0,0,27.3,30.2,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Brycen Hopkins,47338,TE,LA,1,2,0,26,0,,0,,,0,0,,0,0.0,0,0,,,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,,,0,,,0,0,,0,0.0,0,0,,54.2,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Christian Kirk,47546,WR,JAX,1,2,0,15,0,,0,,,0,0,,0,0.37,0,0,,51.1,0,0,0.0,0,2,100.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,9.5,0,50.0,,0,0,0.0,0,-0.3,0,0,68.3,57.7,0,9,0.0,0,21,52.4,1,100.0,21,62.5,2,9.5,0,9,0,0.0,9.0,0.43
Marquez Valdes-Scantling,47809,WR,KC,1,2,0,16,0,,0,,,0,0,,0,0.63,0,0,,51.2,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,34.0,0,100.0,100.0,1,1,0.0,0,-0.6,1,0,70.5,65.2,0,34,0.0,0,14,46.2,1,92.9,13,118.8,1,7.7,0,34,0,0.0,34.0,2.62
Chase Claypool,42312,WR,CHI,1,2,0,6,0,-3.0,0,0.0,,0,0,100.0,1,-0.15,0,0,21.6,25.8,0,0,0.0,0,4,25.0,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.73,0,0,25.5,43.4,0,0,14.3,1,7,42.9,0,85.7,6,0.0,0,0.0,0,0,0,,,0.0
Lil'Jordan Humphrey,42247,WR,DEN,1,2,0,10,0,,0,,,0,0,,0,-1.33,0,0,,53.3,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,9.0,0,100.0,,0,0,0.0,0,0.36,1,0,70.5,54.2,0,6,0.0,0,22,57.9,2,86.4,19,129.2,2,10.5,1,11,2,1.0,5.5,0.58
Ty Chandler,62942,HB,MIN,1,1,0,18,0,-4.0,0,100.0,,0,0,0.0,0,1.62,1,0,78.7,96.5,0,18,0.0,0,1,100.0,1,100.0,1,118.8,1,100.0,0,18,22,22.0,18.0,18.0,,0,,,0,0,,0,0.37,0,0,64.7,62.2,0,0,0.0,0,2,50.0,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Chris Moore,10741,WR,TEN,1,1,0,31,0,,0,,,0,0,,0,2.69,0,0,,52.5,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,43.0,0,0.0,0.0,0,1,,0,-2.78,0,0,,55.6,1,0,0.0,0,1,0.0,0,100.0,1,0.0,1,100.0,0,0,0,,,0.0
Jaleel McLaughlin,138346,HB,DEN,1,1,0,10,0,-7.0,0,100.0,,0,0,0.0,0,-1.13,0,0,78.7,72.8,0,-7,0.0,0,2,0.0,1,100.0,2,79.2,1,50.0,0,-7,0,0.0,-7.0,-3.5,,0,,,0,0,,0,0.0,0,0,72.1,69.1,0,0,,0,0,,0,,0,0.0,0,,0,0,0,,,
Austin Hooper,10715,TE,LV,1,1,0,23,0,,0,,,0,0,,0,0.11,0,0,,43.5,0,0,0.0,0,1,100.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,2.17,0,0,64.7,62.6,0,0,0.0,0,3,100.0,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0
Jalen Tolbert,61637,WR,DAL,1,1,0,9,0,,0,,,0,0,,0,-0.8,0,0,,50.8,0,0,0.0,0,1,0.0,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,10.0,0,0.0,,0,0,,0,-1.65,0,0,,54.5,0,0,0.0,0,2,0.0,0,100.0,2,39.6,1,50.0,0,0,0,,,0.0
Drake London,86519,WR,ATL,1,1,0,2,0,,0,,,0,0,,0,0.06,0,0,,48.4,0,0,0.0,0,5,40.0,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,-0.68,0,0,27.9,46.5,0,0,0.0,0,2,0.0,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0
