player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Derrick Brown,43883,DI,CAR,17,6,2,5,78.1,12,27,483,100.0,12.4,60,5,4.5,2,511,511,41,5,75.3,7,15,187,100.0,14.4,27,7.0,2,199,199,24
Timmy Horne,43918,DI,NYG,4,1,1,21,58.3,0,1,29,100.0,3.4,1,1,1.7,0,34,34,1,1,68.2,0,0,9,100.0,0.0,0,0.0,0,11,11,0
Tyler Hall,43958,CB,LV,9,0,0,23,50.7,0,0,6,5.5,0.0,0,0,0.0,0,109,6,0,0,,0,0,0,0.0,,0,,0,44,0,0
Pat Jones II,43974,ED,MIN,17,0,0,18,45.6,8,23,372,89.2,6.2,23,2,4.4,1,435,388,32,0,55.1,5,14,137,93.5,13.9,19,6.9,0,155,145,19
Byron Murphy Jr.,44027,CB,MIN,14,0,2,18,48.4,0,3,13,2.4,0.0,0,4,11.5,0,584,14,3,0,64.8,0,1,6,3.3,0.0,0,8.3,0,211,7,1
Benito Jones,44035,DI,DET,20,0,0,11,56.4,4,17,303,98.8,5.9,18,1,3.8,1,331,327,22,0,55.7,3,8,117,100.0,8.5,10,4.7,0,129,129,11
Julian Okwara,44152,ED,DET,9,1,1,11,62.5,2,5,76,81.2,11.8,9,1,7.2,2,101,82,9,0,60.2,1,5,58,87.5,12.1,7,8.6,2,72,63,8
Quinnen Williams,44216,DI,NYJ,17,1,2,22,84.5,11,53,436,98.7,19.5,85,5,8.7,6,471,465,70,0,84.5,9,40,223,100.0,25.1,56,13.7,6,239,239,55
Nnamdi Madubuike,44304,DI,BLT,19,0,0,3,79.6,20,43,543,97.1,14.5,79,4,8.6,15,592,575,78,0,83.7,15,34,280,97.7,20.7,58,13.4,13,303,296,62
Boogie Basham,44320,ED,NYG,12,0,0,21,50.8,0,0,84,95.5,3.6,3,0,0.0,0,89,85,0,0,49.8,0,0,12,80.0,0.0,0,0.0,0,15,12,0
Naquan Jones,44363,DI,ARZ,12,0,0,1,52.7,0,4,63,100.0,1.6,1,2,3.2,0,66,66,4,0,51.9,0,1,14,100.0,0.0,0,3.6,0,14,14,1
Isaiahh Loudermilk,44416,DI,PIT,15,1,0,25,47.2,1,3,75,100.0,2.7,2,0,2.7,0,77,77,4,1,54.8,1,2,32,100.0,6.3,2,4.7,0,33,33,3
Elijah Riley,44440,S,PIT,5,0,0,25,70.5,0,2,2,5.6,50.0,1,0,100.0,1,36,2,3,0,70.5,0,2,2,8.3,50.0,1,100.0,1,24,2,3
Kyzir White,44485,LB,ARZ,11,0,0,1,52.1,0,4,34,9.0,2.9,1,3,11.8,2,399,36,6,0,45.0,0,1,14,10.3,7.1,1,3.6,0,145,15,1
Elijah Garcia,44498,DI,DEN,3,0,0,10,67.7,0,1,14,100.0,7.1,1,0,10.7,1,14,14,2,0,72.0,0,1,7,100.0,14.3,1,21.4,1,7,7,2
Trysten Hill,44519,DI,NE,1,0,0,19,58.7,0,0,1,100.0,0.0,0,0,0.0,0,2,2,0,0,59.1,0,0,0,100.0,,0,,0,1,1,0
Brian Burns,44522,ED,CAR,16,1,1,5,75.2,10,21,359,84.6,13.1,47,4,6.8,9,448,379,40,0,79.8,6,14,145,90.1,18.6,27,10.3,5,171,154,25
Ross Blacklock,44526,DI,TEN,4,0,0,31,58.9,0,4,41,100.0,9.8,4,0,4.9,0,44,44,4,0,59.4,0,4,25,100.0,12.0,3,8.0,0,28,28,4
D.J. Wonnum,44550,ED,MIN,15,5,0,18,56.8,6,23,450,84.9,8.2,37,0,5.2,9,548,465,38,0,60.3,5,11,152,82.0,13.8,21,9.2,6,194,159,22
Jack Heflin,44570,DI,NO,1,0,0,20,54.3,0,2,7,100.0,14.3,1,0,14.3,0,7,7,2,0,56.7,0,2,3,100.0,33.3,1,33.3,0,3,3,2
Raekwon Davis,44582,DI,MIA,18,0,0,17,60.3,4,19,269,100.0,8.2,22,0,4.6,1,280,280,24,0,62.8,3,11,114,100.0,10.5,12,7.0,1,118,118,15
Jonah Williams,44597,DI,LA,18,1,0,26,46.8,2,13,313,100.0,4.8,15,1,3.0,2,333,333,17,0,47.5,1,2,90,100.0,5.6,5,3.9,2,98,98,5
Leki Fotu,44614,DI,ARZ,11,0,0,1,54.0,0,4,120,100.0,5.0,6,0,4.2,3,133,133,7,0,53.9,0,4,38,100.0,7.9,3,5.3,0,45,45,4
Luke Masterson,45046,LB,LV,13,0,0,23,54.1,0,0,4,4.2,0.0,0,0,0.0,0,95,4,0,0,60.0,0,0,1,3.1,0.0,0,0.0,0,32,1,0
Essang Bassey,45258,CB,LAC,12,0,0,27,47.4,1,1,7,3.4,0.0,0,2,14.3,0,232,8,2,0,52.8,1,1,3,2.4,0.0,0,33.3,0,126,3,2
Jordan Fuller,45326,S,LA,17,0,0,26,49.6,0,0,10,1.5,0.0,0,1,0.0,0,674,10,0,0,54.0,0,0,3,0.9,0.0,0,0.0,0,319,3,0
Eric Banks,45507,DI,ARZ,2,0,0,1,55.3,0,0,21,100.0,4.8,1,0,0.0,0,23,23,0,0,61.5,0,0,7,100.0,14.3,1,0.0,0,8,8,0
Brandon Stephens,45644,CB,BLT,18,1,0,3,73.3,0,0,5,0.6,0.0,0,5,0.0,0,817,5,0,0,55.8,0,0,2,0.5,0.0,0,0.0,0,430,2,0
Da'Shawn Hand,48386,DI,MIA,16,1,0,17,68.5,2,6,114,100.0,8.8,10,0,4.4,1,119,119,9,1,73.1,2,3,52,100.0,11.5,6,6.7,1,55,55,6
